ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,PAULSSON,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_original,amountAwarded,amountAwarded_original,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC328,"Melvin J. Howard, Centurion Health Corp. & Howard Family Trust v. The Government of Canada (PCA Case No. 2009-21)",2009,2010,Canada,USA,"Melvin J. Howard, Centurion Health Corp. & Howard Family Trust",construction,UNCITRAL,NAFTA,Discontinued (for unknown reasons or reasons other than settlement),176555838.9,160000000,Not applicable,,Peter TOMKA,yes,Marjorie Florestal,yes,Henri Alvarez,yes,,http://www.italaw.com/cases/541
UNC501,Transban Investments Corp. v. Venezuela (ICSID Case No. ARB/12/24),2012,,Venezuela,Barbados,Transban Investments Corp.,Vehicle import enterprise,ICSID,Barbados-Venezuela BIT,Pending,103110708.5,100000000,Not applicable,,Peter TOMKA,yes,David D. CARON,yes,Santiago TORRES BERNÁRDEZ,yes,,
UNC329,International Company for Railway Systems (ICRS) v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/09/13),2009,2011,Jordan,Kuwait,International Company for Railway Systems (ICRS),Light rail system,ICSID,Kuwait-Jordan BIT,Discontinued (for unknown reasons or reasons other than settlement),882779194.3,800000000,,,Patrick L. ROBINSON,yes,Stanimir A. ALEXANDROV,yes,Bernard AUDIT,yes,,
UNC480,UAB E energija (Lithuania) v. Latvia (ICSID Case No. ARB/12/33),2012,,Latvia,Lithuania,UAB E energija (Lithuania),Heating services enterprise,ICSID,Latvia-Lithuania BIT,Pending,9905670.47,9606830,Not applicable,,Paolo Michele PATOCCHI,yes,Samuel WORDSWORTH,yes,August REINISCH,yes,"Lithuania’s energy group E Energija, which is controlled by the European Bank for Reconstruction and Development (EBRD) and businessman Virginijus Strioga, has initiated international arbitration proceedings against Latvia due to early termination of an agreement on long-term lease of heating system in Rezekne.",
UNC609,Forminster v. Czech Republic,2014,2014,Czech Republic,Cyprus,Forminster,department store,UNCITRAL,Cyprus-Czech Republic BIT,Discontinued (for unknown reasons or reasons other than settlement),29000000,29000000,Not applicable,,Paolo Michele PATOCCHI,yes,Martin Hunter,yes,August REINISCH,yes,,iareporter
UNC146,OKO Pankki Oyj and others (formerly OKO Osuuspankkien Keskuspankki Oyj and others) v. Estonia (ICSID Case No. ARB/04/6),2004,2007,Estonia,Finland,OKO Pankki Oyj and others (formerly OKO Osuuspankkien Keskuspankki Oyj and others),Debt instruments,ICSID,Estonia-Germany BIT; Estonia-Finland BIT,In favour of the investor,,,20506113.38,17960000,Otto L.O. DE WITT WIJNEN,yes,V.V. VEEDER,yes,L. Yves FORTIER,yes,Claim arising out of the alleged non-payment of a loan which had been made to a joint-venture Estonian company,
UNC232,Shell Brands International AG and Shell Nicaragua S.A. v. Nicaragua (ICSID Case No. ARB/06/14),2006,2007,Nicaragua,Netherlands,Shell Brands International AG and Shell Nicaragua S.A.,Trademarks,ICSID,Netherlands-Nicaragua BIT,Settled,,,Not applicable,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,None
UNC266,Eni Dación B.V. v. Venezuela (ICSID Case No. ARB/07/4),2007,2008,Venezuela,Netherlands,Eni Dación B.V.,Hydrocarbon rights,ICSID,Netherlands-Venezuela BIT,Settled,1141765778,1000000000,unknown,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"ENI was the only foreign oil company to turn to arbitration to challenge the Venezuelan government’s renegotiation of operating contracts for light-crude-oil concessions. However, the company settled the claim 14 months later. As noted above, Mobil and ConocoPhillips later resorted to arbitration, alleging expropriation of the more lucrative heavy-oil concessions in the Orinoco Belt region.",None
UNC345,Itera International Energy LLC and Itera Group NV v. Georgia (ICSID Case No. ARB/09/22) (II),2009,2010,Georgia,USA/Netherlands,Itera International Energy LLC and Itera Group NV,Gas distribution enterprise,ICSID,Georgia-United States BIT; Georgia-Netherlands BIT,Settled,,,unknown,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,None
UNC431,"The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited v. Venezuela (ICSID Case No. ARB/11/10)",2011,,Venezuela,Netherlands/United Kingdom,"The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited",Gas compression and injection enterprises,ICSID,Netherlands-Venezuela BIT,Settled,736711730.7,700000000,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,None
UNC069,CCL Oil v. Kazakhstan (SCC Case No. 122/2001),2001,2004,Kazakhstan,USA,CCL Oil,oil investment,SCC,Kazakhstan-United States BIT,In favour of the State,,,Not applicable,,Norway,,James H. Carter,,Christer Soderlund,,,
UNC040,Mondev International Ltd. v. USA (ICSID Case No. ARB(AF)/99/2),1999,2002,USA,Canada,Mondev International Ltd.,Commercial real estate development,ICSID AF,NAFTA,In favour of the State,,,Not applicable,,Ninian STEPHEN,yes,James R. CRAWFORD,yes,Stephen M. SCHWEBEL,yes,,
UNC132,ADC Affiliate Limited and ADC & ADMC Management Limited v. Hungary (ICSID Case No. ARB/03/16),2003,2006,Hungary,Cyprus,ADC Affiliate Limited and ADC & ADMC Management Limited,Airport project,ICSID,Cyprus-Hungary BIT,In favour of the investor,,,89245714.29,76000000,Neil Kaplan,yes,Charles N. BROWER,yes,Albert Jan VAN DEN BERG,yes,Claims arising out of the alleged take-over by the Government of Hungary of all activities of the investor's company in the Budapest airport.,
UNC289,Turkcell İletişim Hizmetleri A.Ş. v. The Islamic Iran,2008,2014,Iran,Turkey,Turkcell İletişim Hizmetleri A.Ş.,Telecom,UNCITRAL,Iran-Turkey BIT,In favour of the State,659728847.3,600000000,Not applicable,,Neil Kaplan,,Mir Hossein Abedian Kalkhoran,,Charles N. BROWER,,"Turkcell filed the first known investor claim against Iran under a bilateral investment treaty in late 2007, alleging that it was cut out of a lucrative mobile phone concession due to the company’s business relations with Israel. Iran has issued no comment about the claim.",http://www.italaw.com/cases/2735
UNC384,Michael McKenzie v. Vietnam,2010,2013,Vietnam,USA,Michael McKenzie,,UNCITRAL,United States-Vietnam Trade Relations Agreement,In favour of the State,unknown,,Not applicable,,Neil Kaplan,yes,John Gotanda,yes,Campbell McLachlan,yes,,http://www.italaw.com/cases/2370
UNC466,State Enterprise Energorynok v. the Moldova (SCC Case No. 2012/175),2012,2015,Moldova,United Kingdom,State Enterprise Energorynok,"Electricity, gas, steam and air conditioning supply - See more at: http://www.italaw.com/cases/3251#sthash.kNOmqCgN.dpuf",SCC,Energy Charter Treaty,In favour of the State,1752882.04,1700000,Not applicable,,Nancy B. Turck,yes,Joseph Tirado,yes,Rolf KNIEPER,yes,,http://www.italaw.com/cases/3251
UNC372,RSM Production Corporation v. Ecuador,2010,,Ecuador,USA,RSM Production Corporation,,Data not available,Ecuador-United States BIT,Pending,108566606.7,100000000,Not applicable,,NA,,,,,,,Not found
UNC586,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara v. Indonesia (ICSID Case No. ARB/14/15),2014,,Indonesia,Netherlands,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara,Copper and gold mining project,ICSID,Indonesia-Netherlands BIT,Discontinued (for unknown reasons or reasons other than settlement),,,Not applicable,,NA,,NA,,NA,,,
UNC029,Wena Hotels Ltd. v. Arab Egypt (ICSID Case No. ARB/98/4),1998,2000,Egypt,United Kingdom,Wena Hotels Ltd.,Hotel lease and development agreements,ICSID,Egypt-United Kingdom BIT,In favour of the investor,,,26120696.86,19000000,Monroe LEIGH,yes,Ibrahim FADLALLAH,yes,Don WALLACE Jr.,yes,,
UNC100,Glamis Gold Ltd. v. USA,2003,2009,USA,Canada,Glamis Gold Ltd.,mining,UNCITRAL,NAFTA,In favour of the State,unknown,,Not applicable,,Michael Young,yes,Kenneth Hubbard,yes,David Caron,yes,,http://www.italaw.com/cases/487
UNC514,USA Steel Global Holdings I B.V. v. The Slovak Republic (PCA Case No. 2013-6),2013,2014,Slovakia,Netherlands,USA Steel Global Holdings I B.V.,steel plant,UNCITRAL,Netherlands-Slovakia BIT,Discontinued (for unknown reasons or reasons other than settlement),unknown,,Not applicable,,Michael Reisman,yes,James Crawford,yes,Robert VOLTERRA,yes,,http://www.italaw.com/cases/1903
UNC445,"St. Marys VCNA, LLC v. The Government of Canada",2011,2013,Canada,USA,"St. Marys VCNA, LLC",quarry,UNCITRAL,NAFTA,Settled,289422465.7,275000000,0,0,Michael Pryles,yes,Brigitte STERN,yes,Richard Stewart,yes,,http://www.italaw.com/cases/1196
UNC078,Tokios Tokelés v. Ukraine (ICSID Case No. ARB/02/18),2002,2007,Ukraine,Lithuania,Tokios Tokelés,Printing enterprise,ICSID,Lithuania-Ukraine BIT,In favour of the State,,,Not applicable,,Michael MUSTILL,yes,Daniel M. PRICE,yes,Piero BERNARDINI,yes,,
UNC420,"The Renco Group, Inc. v. Peru (ICSID Case No. UNCT/13/1)",2011,,Peru,USA,"The Renco Group, Inc.",Mining company,UNCITRAL,Peru-United States FTA,Pending,841956263.7,800000000,Not applicable,,Michael J. MOSER,yes,L. Yves FORTIER,yes,Toby LANDAU,yes,,
UNC206,"Malaysian Historical Salvors, SDN, BHD v. Malaysia (ICSID Case No. ARB/05/10)",2005,2007,Malaysia,United Kingdom,"Malaysian Historical Salvors, SDN, BHD",Salvage contract,ICSID,Malaysia-United Kingdom BIT,In favour of the State,,,Not applicable,,Michael HWANG,yes,Michael HWANG,sole arbitrator,NA,,,
UNC219,Libananco Holdings Co. Limited v. Turkey (ICSID Case No. ARB/06/8),2006,2011,Turkey,Cyprus,Libananco Holdings Co. Limited,Electricity generation and distribution concessions,ICSID,Energy Charter Treaty,In favour of the State,11860285714,10100000000,Not applicable,,Michael HWANG,yes,Henri C. ÁLVAREZ,yes,Franklin BERMAN,yes,Electricity generation and distribution concessions (expropriation),
UNC205,"Cargill, Incorporated v. United Mexican States (ICSID Case No. ARB(AF)/05/2)",2005,2009,Mexico,USA,"Cargill, Incorporated",Soft drink sweetener production enterprise,ICSID AF,NAFTA,In favour of the investor,121216589.9,100000000,94898763.38,86000000,Michael C. PRYLES,yes,David D. CARON,yes,Donald M. McRAE,yes,One of three NAFTA arbitrations spawned by a controversial 20% Mexican tax on soft drink bottlers who use sweeteners other than cane sugar. Cargill complained that the tax harmed the company’s high fructose corn syrup plant in Mexico. The tax at issue has been found in a WTO proceeding to violate international trade rules. A ruling on the merits and damages is expected in 2009.,
UNC483,Georg Gavrilovic and Gavrilovic d.o.o. v. Croatia (ICSID Case No. ARB/12/39),2012,,Croatia,Austria,Georg Gavrilovic and Gavrilovic d.o.o.,Food products enterprise,ICSID,Austria-Croatia BIT,Pending,278398912.9,270000000,Not applicable,,Michael C. PRYLES,yes,Stanimir A. ALEXANDROV,yes,J. Christopher THOMAS,yes,"Georg Gavrilovic, and the Croatian meat processing plant that shares his family name, allege that the Croatian Government expropriated the group’s commercial properties without paying compensation.",
UNC169,Trinh Vinh Binh and Binh Chau Joint Stock Company v. Socialist Vietnam,2004,2007,Vietnam,Netherlands,Trinh Vinh Binh and Binh Chau Joint Stock Company,frozen food factory and real estate investments,UNCITRAL,Netherlands-Viet Nam BIT,Settled,125323451.6,100000000,,,Mark Baker,yes,Brigitte STERN,Data not available,Kaj HOBÉR,Data not available,"A claim filed under Netherlands–Vietnam BIT by an overseas Vietnamese who returned to invest in real estate. The investor’s property was confiscated, and he was jailed by the Province of Ba Ria-Vung Tau for alleged land law violations and bribery. The first investment treaty claim against Vietnam, the dispute was settled confidentially in 2006 and formally terminated by order of the tribunal in March 2007.",http://www.italaw.com/cases/155
UNC392,Luigiterzo Bosca v. Lithuania,2010,2013,Lithuania,Italy,Luigiterzo Bosca,alcohol production,UNCITRAL,Italy-Lithuania BIT,Neither the investor nor the State (liability found but no damages awarded),293129838.2,270000000,nihil,nihil,Marc LALONDE,yes,Brigitte STERN,yes,Daniel Price,yes,,http://www.italaw.com/cases/2076
UNC073,France Telecom v. Lebanon,2002,2005,Lebanon,France,France Telecom,telecom,UNCITRAL,France-Lebanon BIT,In favour of the investor,unknown,,322436129,266000000,Marc LALONDE,yes,Bernard Audit,yes,Antoine Akl,yes,"France Telecom initiated an arbitration on 20 June 2002 pursuant to the terms of a bilateral investment treaty between France and Lebanon. France Telecom’s subsidiary had been offering GSM mobile service pursuant to a Build Operate and Transfer (BOT) contract since 1994. France Telecom alleged that: (i) its BOT contract was prematurely terminated; (ii) it was the victim of expropriation; and (iii) it had failed to receive fair and equitable treatment at the hands of the Lebanese state. The French firm claimed some US$771 million in damages, including compensation for the remainder of the BOT contract. The Lebanese Government filed a counter-claim for $840 million in damages against France Telecom. Initially, France Telecom pursued arbitration both at the International Chamber of Commerce, and under the UNCITRAL rules, but ultimately pursued the claim solely under the UNCITRAL rules. In a recent decision of 22 February 2005, the arbitration panel rendered a US$266 million award against Lebanon. Lebanon has filed an application to the Swiss Federal Supreme Court to set aside the award. (http://www.ictregulationtoolkit.org/en/toolkit/notes/PracticeNote/2563)",http://www.italaw.com/cases/452
UNC160,Alstom Power Italia SpA and Alstom SpA v. Mongolia (ICSID Case No. ARB/04/10),2004,2006,Mongolia,Italy,Alstom Power Italia SpA and Alstom SpA,Thermal energy station project,ICSID,Energy Charter Treaty; Italy-Mongolia BIT,Settled,unknown,,unknown,,Marc LALONDE,yes,Jan PAULSSON,yes,Anthony MASON,yes,"Thermal energy project, dispute relating to boiler rehabilitation ",
UNC309,Karmer Marble Tourism Construction Industry and Commerce Limited Liability Company v. Georgia (ICSID Case No. ARB/08/19),2008,2012,Georgia,Turkey,Karmer Marble Tourism Construction Industry and Commerce Limited Liability Company,Highway construction project,ICSID,Turkey-Georgia BIT,In favour of the investor,109954807.9,100000000,unknown,,Marc LALONDE,yes,Francisco ORREGO VICUÑA,yes,Eric SCHWARTZ,yes,"The Turkish claimants allege expropriation of their investments in a motorway construction project and a separate hotel investment in Georgia. In addition to treaty claims, the claimants also allege breaches of a domestic statute designed to protect foreign investors.",
UNC330,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Germany (ICSID Case No. ARB/09/6) (I)",2009,2011,Germany,Sweden,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG",Power plant construction project,ICSID,Energy Charter Treaty,Settled,2206947986,2000000000,unknown,,Marc LALONDE,yes,Franklin BERMAN,yes,Gabrielle KAUFMANN-KOHLER,yes,Claim arising out of restrictions imposed by the City of Hamburg on a coal-fired power plant under construction along the banks of the Elbe River.,
UNC341,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones v. Yemen (ICSID Case No. ARB/09/7),2009,2010,Yemen,United Arab Emirates,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones,Operation of a global system for mobile communications (GSM) network,ICSID,Yemen-United Arab Emirates BIT,Settled,,,unknown,,Marc LALONDE,yes,Barton LEGUM,yes,Daniel M. PRICE,yes,,
UNC486,"CC/Devas (Mauritius) Ltd., Devas Employees Mauritius Private Limited, and Telcom Devas Mauritius Limited v. India (PCA Case No. 2013-09)",2012,,India,Mauritius,"CC/Devas (Mauritius) Ltd., Devas Employees Mauritius Private Limited, and Telcom Devas Mauritius Limited",telecom,UNCITRAL,India-Mauritius BIT,Pending,1031107085,1000000000,Not applicable,,Marc LALONDE,yes,Francisco ORREGO VICUÑA,yes,Anil Dev Singh,,"In 2005, India's Department of Space approved a contract to lease satellite capacity to Devas Multimedia Private Limited that would enable it to provide audiovisual, broadband and mobile internet services within India through a satellite and terrestrial network. Devas’s investors include DT Asia, a Singapore subsidiary of Deutsche Telekom AG (which holds a 20 percent stake ADDED in Devas), and CC/Devas Mauritius Private Limited and Telcom Devas Mauritius Private Limited (each with 17 percent), two Mauritius affiliates of USA venture capital firms Columbia Capital LLC  and Telcom Ventures LLC.  After India moved to annul Devas's rights under the contract in February 2011, Devas brought an ICC contract arbitration against Antrix Corporation Limited, the marketing arm of India's space agency.  After that action was enjoined by the Indian Supreme court, the Mauritian investment vehicles (CC/Devas, Telcom Devas and Devas Employees Mauritius Limited) brought a treaty arbitration against India under the Mauritius-India BIT.",http://www.italaw.com/cases/1962
UNC277,"Sergei Paushok, CJSC Golden East Company and CJSCVostokneftegaz Company v. The Government of Mongolia",2007,,Mongolia,Russia,"Sergei Paushok, CJSC Golden East Company and CJSCVostokneftegaz Company",gold mining,UNCITRAL,Russia-Mongolia BIT,Pending,570882889.1,500000000,Not applicable,,Marc LALONDE,yes,Horacio Grigera Naón,yes,Brigitte STERN,yes,"In 2006 Mongolia passed a windfall profits tax on gold sales above $500 per ounce. Russian miners now challenge the tax under the Mongolia–Russia BIT. In April 2010 the tribunal dismissed the main claim, and agreed with Mongolia that the claimants’ choice not to obtain a stability pact deprived them of the legitimate expectation that no windfall profits tax would be imposed in the future",www.italaw.com/cases/816
UNC451,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Poland (ICSID Case No. ARB(AF)/11/3)",2011,,Poland,USA,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC",Vegetable oil production and processing enterprise,ICSID,Poland-United States BIT,Pending,157866799.4,150000000,Not applicable,,Makhdoom Ali KHAN,yes,Francisco ORREGO VICUÑA,yes,Claus VON WOBESER,yes,Claims arising from the bankruptcy of a margarine factory,
UNC608,Oded Besserglik v. Mozambique (ICSID Case No. ARB(AF)14/2),2014,,Mozambique,South Africa,Oded Besserglik,Joint fishing operation,ICSID AF,Mozambique-South Africa BIT,Pending,,,Not applicable,,Makhdoom Ali KHAN,yes,L. Yves FORTIER,yes,Claus VON WOBESER,yes,,
UNC129,El Paso Energy International Company v. Argentine Republic (ICSID Case No. ARB/03/15),2003,2011,Argentina,USA,El Paso Energy International Company,Hydrocarbon and electricity concessions,ICSID,Argentina-United States BIT,In favour of the investor,257377690.8,200000000,69461391.76,66000000,Lucius CAFLISCH,yes,Piero BERNARDINI,yes,Brigitte STERN,yes,"Another Argentine financial crisis claim. El Paso alleged breaches of the USA–Argentina bilateral investment treaty as a result of emergency measures taken by Argentina that have adversely impacted El Paso’s investments in the hydrocarbons and electricity sectors in Argentina. An award is expected in 2009. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.“",
UNC130,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) S.A. and Pioneer Natural Resources (Tierra del Fuego) S.A. v. Argentine Republic (ICSID Case No. ARB/03/12)",2003,2005,Argentina,USA,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) S.A. and Pioneer Natural Resources (Tierra del Fuego) S.A.",Hydrocarbon and electricity concessions,ICSID,Argentina-United States BIT,Settled,,,unknown,,Lucius CAFLISCH,yes,Piero BERNARDINI,yes,Brigitte STERN,yes,,
UNC131,Pan American Energy LLC and BP Argentina Exploration Company v. Argentine Republic (ICSID Case No. ARB/03/13),2003,2008,Argentina,USA,Pan American Energy LLC and BP Argentina Exploration Company,Hydrocarbon and electricity concessions,ICSID,Argentina-United States BIT,Settled,1158199609,900000000,unknown,,Lucius CAFLISCH,yes,Albert Jan VAN DEN BERG,yes,Brigitte STERN,yes,"BP and Pan American claimed that certain joint investments in hydrocarbons and electricity production were harmed by the emergency measures introduced to stabilize the Argentine economy in the early part of this decade. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis. The case settled in mid-2008.",
UNC171,BP America Production Company and others v. Argentine Republic (ICSID Case No. ARB/04/8),2004,2008,Argentina,USA,BP America Production Company and others,Hydrocarbon concession and electricity generation project,ICSID,Argentina-United States BIT,Settled,1127911064,900000000,unknown,,Lucius CAFLISCH,yes,Brigitte STERN,yes,Albert Jan VAN DEN BERG,yes,"BP claimed that investments in hydrocarbons and electricity production were sideswiped by the emergency measures introduced to stabilize the Argentine economy during a crisis earlier this decade. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis. A settlement was reached in August 2008.",
UNC324,Achmea B.V. (formerly Eureko B.V.) v. The Slovak Republic (PCA Case No. 2008-13) (I),2008,2012,Slovakia,Netherlands,Achmea B.V. (formerly Eureko B.V.),,UNCITRAL,Netherlands-Slovak Republic BIT,In favour of the investor,93131722.27,84700000,29695884.04,28800000,Vaughan LOWE,yes,Albert Jan VAN DEN BERG,yes,Peter TOMKA,yes,"Eureko BV, a Dutch corporation providing insurance cover including health insurance, invested heavily in the Slovak Republic when that country liberalized its health insurance market in 2004. But then, in late 2006, a new Slovak government sought to reverse the liberalization of 2004. Eureko claimed that change in policy ruined its investments in the Slovak Republic and began arbitration proceedings against that state in accordance with the arbitration clause in the BIT.",http://www.italaw.com/sites/default/files/case-documents/italaw3206.pdf
UNC198,Mittal Steel Company N.V. v. Czech Republic,2005,2009,Czech Republic,Netherlands,Mittal Steel Company N.V.,steel industry project,UNCITRAL,Czech Republic-Netherlands BIT,Settled,1697032258,1400000000,,,Lord Steyn,yes,Piero BERNARDINI,Data not available,Christopher Greenwood,Data not available,"BIT claim for discriminatory treatment in connection with the privatization of Vitkovice Steel, which Mittal sought and failed to acquire in 2005. The case settled in May 2009, with the Czech government agreeing to sell its 11 percent stake in ArcelorMittal’s Czech subsidiary to ArcelorMittal",None
UNC199,European Media Ventures SA v. The Czech Republic,2005,2007,Czech Republic,Belgium/Luxembourg,European Media Ventures SA,broadcasting enterprise,UNCITRAL,Belgium and Luxembourg-Czech Republic BIT,In favour of the State,40001474.65,33000000,Not applicable,,Lord Mustill,,Julian Lew,,Christopher Greenwood,,"The dispute was based on a claim stemming from the failure to transfer the broadcasting licence if TV3 to KTV, a company owned by the claimant. ",
UNC032,Pope & Talbot v. Government of Canada,1999,2002,Canada,USA,Pope & Talbot,softwood lumber mills,UNCITRAL,NAFTA,In favour of the investor,,,607456.57,461566,Lord Dervaird,,Benjamin J. GREENBERG,,Murray J. Belman,,,
UNC560,Antaris Solar GmbH and Dr. Michael Göde v. The Czech Republic,2013,,Czech Republic,Germany,Antaris Solar GmbH and Dr. Michael Göde,solar energy,UNCITRAL,Czechoslovakia-Germany BIT; Energy Charter Treaty,Pending,,,Not applicable,,Lord Collins,yes,Doak BISHOP,yes,Peter TOMKA,yes,Case arising in response to the State levy on the Solar Power Industry,
UNC482,"Ping An Life Insurance Company of China, Limited and Ping An Insurance (Group) Company of China, Limited v. Kingdom of Belgium (ICSID Case No. ARB/12/29)",2012,2015,Belgium,China,"Ping An Life Insurance Company of China, Limited and Ping An Insurance (Group) Company of China, Limited",Banking and financial services,ICSID,Belgium and Luxembourg-China BIT (1984); Belgium and Luxembourg-China BIT (2005),In favour of the State,1381683493,1340000000,Not applicable,,Lawrence COLLINS,yes,Philippe SANDS,yes,David A.R. WILLIAMS,yes,Ping An has alleged that its investment in Fortis was expropriated as a result of the Belgian government’s nationalization and sale of Fortis’s Belgian banking subsidiary in the effort to salvage the bank’s operations from a massive liquidity crisis.,
UNC181,"Ioan Micula, Viorel Micula and others v. Romania (ICSID Case No. ARB/05/20) (I)",2005,2013,Romania,Sweden,"Ioan Micula, Viorel Micula and others",Food products enterprise,ICSID,Romania-Sweden BIT,In favour of the investor,1212165899,1000000000,158530613,156000000,Laurent LÉVY,yes,Stanimir A. ALEXANDROV,yes,Georges ABI-SAAB,yes,"Swedish investors in the Romanian food and beverage sector allege under the Sweden-Romania BIT that Romania improperly revoked tax exemptions for raw material imports used by factories in disadvantaged areas of the country. Romania contends, among other things, that these steps were legitimately and necessarily taken as part of the EU accession process. In 2010 the EU filed an amicus brief in support of Romania. The parties argued the case in November 2010, and now await the tribunal's award.",
UNC202,Parkerings-Compagniet AS v. Lithuania (ICSID Case No. ARB/05/8),2005,2007,Lithuania,Norway,Parkerings-Compagniet AS,Public parking concession,ICSID,Lithuania-Norway BIT,In favour of the State,,,Not applicable,,Laurent LÉVY,yes,Marc LALONDE,yes,Julian D.M. LEW,yes,,
UNC406,Crystallex International Corporation v. Venezuela (ICSID Case No. ARB(AF)/11/2),2011,,Venezuela,Canada,Crystallex International Corporation,Mining company,ICSID AF,Canada-Venezuela BIT,Pending,3367825055,3200000000,Not applicable,,Laurent LÉVY,yes,John Y. GOTANDA,yes,Laurence BOISSON DE CHAZOURNES,yes,"An ICSID Additional Facility claim filed in 2011 by a Canadian miner under the Canada/Venezuela BIT, arising out of the alleged expropriation of one of the largest untapped gold mines in the world. The respondent disputes the claims. The Las Cristinas mine also inspired an earlier (failed) claim by Vannessa Ventures.",
UNC521,Achmea B.V. v. The Slovak Republic (PCA Case No. 2013-12) (II),2013,2014,Slovakia,Netherlands,Achmea B.V.,,UNCITRAL,Netherlands-Slovakia BIT,In favour of the State,94508634.64,93000000,Not applicable,,Laurent LÉVY,yes,Pierre-Marie DUPUY,yes,John BEECHEY,yes,Claims arising in response to a reform of the health insurance system,http://www.italaw.com/cases/2564
UNC541,Caratube International Oil Company LLP and Devincci Salah Hourani v. Kazakhstan (ICSID Case No. ARB/13/13) (II),2013,,Kazakhstan,USA,Caratube International Oil Company LLP and Devincci Salah Hourani,Oil exploration and production contract,ICSID,Kazakhstan-United States BIT,Pending,,,Not applicable,,Laurent LÉVY,yes,Laurent AYNÈS,yes,Jacques SALÈS,yes,,
UNC563,Federal Elektrik Yatırım ve Ticaret A.Ş. and others v. Uzbekistan (ICSID Case No. ARB/13/9),2013,,Uzbekistan,Turkey,Federal Elektrik Yatırım ve Ticaret A.Ş. and others,Renovation and development of natural gas system,ICSID,Turkey-Uzbekistan BIT; Energy Charter Treaty,Pending,,,Not applicable,,Laurent LÉVY,yes,Jan PAULSSON,yes,V.V. VEEDER,yes,,
UNC307,"ATA Construction, Industrial and Trading Company v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/08/2)",2008,2010,Jordan,Turkey,"ATA Construction, Industrial and Trading Company",Waterway construction project,ICSID,Turkey-Jordan BIT,In favour of the investor,109954807.9,100000000,nihil,nihil,L. Yves FORTIER,yes,Ahmed Sadek EL-KOSHERI,yes,W. Michael REISMAN,yes,"Turkish firm ATA complains that Jordan wrongly annulled a contractual arbitration award, leading to a denial of justice under the Turkey–Jordan bilateral investment treaty. Jordan has raised objections to the case on jurisdictional grounds and with respect to the merits.",
UNC213,Hulley Enterprises Ltd. v. Russia (PCA Case No. AA 226),2005,2014,Russia,Cyprus,Hulley Enterprises Ltd.,oil company,UNCITRAL,Energy Charter Treaty,In favour of the investor,125580387097,103600000000,39972000000,39972000000,L. Yves FORTIER,yes,Charles Poncet,yes,Stephen Schwebel,yes,"Largest reported arbitration ever. A trio of cases brought against Russia by the majority shareholders of the defunct Yukos Oil Company. Affiliated with Group Menatep Ltd., claimants argue that Russia drove Yukos into bankruptcy through allegedly inflated tax claims in a vendetta against former CEO Mikhail Khodorkovsky. In its defense, Russia has argued that its courts properly adjudicated genuine tax offenses. Citing unfair treatment and expropriation in violation of the Energy Charter Treaty, claimants seek roughly $85 billion for Hulley, $15 billion for Veteran, and $4 billion for Yukos Universal. On November 30, 2009, the tribunal, operating under the supervision of the Permanent Court of Arbitration, asserted jurisdiction [“A Lifetime of Litigation,” Summer 2010]. A few preliminary issues have been left for the merits phase, including the ECT’s tax carve-outs and Russia’s allegation that Yukos’s criminal wrongdoing bars its claim. A merits hearing is scheduled for late 2012.",http://www.italaw.com/cases/544
