ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,InvestmentType,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC237,Barmek Holding A.S. v. Azerbaijan (ICSID Case No. ARB/06/16),2006,2009,Azerbaijan,Turkey,Barmek Holding A.S.,Electricity concession,ICSID,Energy Charter Treaty,Settled,1000000000,unknownValue,DU,DU,Vaughan LOWE,YES,Peter W. GALBRAITH,Yes,Brigitte STERN,Yes,Electricity concession ,unknownValue
UNC236,Merrill & Ring Forestry L.P. v. The Government of Canada,2006,unknownValue,Canada,USA,Merrill & Ring Forestry L.P.,unknownValue,UNCITRAL,NAFTA,In favour of the State,25000000,USD,NA,DU,Francisco Orrego Vicuña,Yes,J. William Rowley,Yes,Kenneth Dam,Yes,unknownValue,0
UNC228,The Rompetrol Group N.V. v. Romania (ICSID Case No. ARB/06/3),2006,2013,Romania,Netherlands,The Rompetrol Group N.V.,Oil refinery,ICSID,Netherlands-Romania BIT,Neither the investor nor the State (liability found but no damages awarded),100000000,USD,nihil,USD,Franklin BERMAN,YES,Donald DONOVAN,YES,Marc LALONDE,YES,"The claims arose from measures taken by Romanian anti-corruption and criminal prosecution authorities against two individuals, Mr Patriciu and Mr Stephenson, who directed the affairs of RRC, a company born through the privatisation of the State oil-refining industry after the fall of Ceausescu in 1989. Rompetrol alleged that the investigations, which included the arrest, detention, travel-ban and wire-tapping of Mr Patriciu, were politically and commercially motivated and breached the guarantees in the BIT. Romania’s response was that the investigations were a legitimate part of its implementation of the National Anti-Corruption Strategy that it had pursued in order to gain access to the European Union.",http://www.italaw.com/cases/920
UNC229,Cementownia “Nowa Huta” S.A. (Poland) and Polska Energetyka Holding S.A. (Poland) v. Turkey (II),2006,2009,Turkey,Poland,Cementownia “Nowa Huta” S.A. (Poland) and Polska Energetyka Holding S.A. (Poland),Electricity concessions,UNCITRAL,Poland-Turkey BIT,Discontinued (for unknown reasons or reasons other than settlement),4800000000,unknownValue,NA,DU,Pierre Tercier,unknownValue,Marc Lalonde,Yes,J. Christopher Thomas,Yes,"Another case arising out of Turkey’s fight with the Uzan business empire. In this consolidated arbitration, claimants alleged expropriation under the Poland–Turkey BIT of its stakes in various companies once owned by the Uzans. Turkey countered that when it took the measures that claimants call expropriatory, it was investigating the largest banking fraud in its history, and seeking recovery of embezzled funds. The cases were discontinued by a July 2009 termination order for claimants’ failure to pursue them. The panel awarded Turkey $1.7 million in legal costs in November 2009.",http://www.italaw.com/cases/230
UNC125,Fraport AG Frankfurt Airport Services Worldwide v. the Philippines (ICSID Case No. ARB/03/25) (I),2003,2007,Philippines,Germany,Fraport AG Frankfurt Airport Services Worldwide,Construction of an airport terminal,ICSID,Germany-Philippines BIT,In favour of the State,425000000,unknownValue,NA,DU,L. Yves FORTIER,YES,Bernardo M. CREMADES,YES,W. Michael REISMAN,YES,"The owner and operator of the Frankfurt airport, Fraport, invested more than $425 million in the construction of a new terminal at Manila’s Ninoy Aquino International Airport. Following construction of the terminal, Fraport alleges that the Philippines nullified the contracts and seized the terminal in violation of its investment treaty. In August 2007 a divided panel declined jurisdiction over the case on the grounds that Fraport had violated Philippine law by quietly maneuvering to exercise managerial control over the local Philippines project company, PIATCO, which handled construction of the terminal (and in which Fraport held a minority stake).",unknownValue
UNC198,Mittal Steel Company N.V. v. Czech Republic,2005,2009,Czech Republic,Netherlands,Mittal Steel Company N.V.,steel industry project,UNCITRAL,Czech Republic-Netherlands BIT,Settled,1400000000,USD,unknownValue,unknownValue,Lord Steyn,Yes,Piero Bernardini,Data not available,Christopher Greenwood,Data not available,"BIT claim for discriminatory treatment in connection with the privatization of Vitkovice Steel, which Mittal sought and failed to acquire in 2005. The case settled in May 2009, with the Czech government agreeing to sell its 11 percent stake in ArcelorMittal’s Czech subsidiary to ArcelorMittal",None
UNC048,Eastern Company v. Lebanon,2000,2002,Lebanon,Egypt,Eastern Company,unknown,CRCICA,Egypt-Lebanon BIT,Data not available,unknownValue,unknownValue,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue
UNC126,"EDF International S.A., SAUR International S.A. and León Participaciones Argentinas S.A. v. Argentine Republic (ICSID Case No. ARB/03/23)",2003,2012,Argentina,France,"EDF International S.A., SAUR International S.A. and León Participaciones Argentinas S.A.",Electricity distribution enterprise,ICSID,Argentina-France BIT; Argentina-Belgium-Luxembourg BIT,In favour of the investor,257000000,unknownValue,205000000,USD,William W. PARK,YES,Gabrielle KAUFMANN-KOHLER,YES,Jesús REMÓN,YES,"The claimants, French and Argentine power sector companies with investments in Argentina’s electricity distribution network, allege losses arising out of Argentina’s emergency response to an earlier financial crisis. In August 2008 arbitrators upheld jurisdiction over the claim. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",unknownValue
UNC121,"Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A. (formerly Aguas Argentinas, S.A., Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A.) v. Argentine Republic (ICSID Case No. ARB/03/19)",2003,2015,Argentina,France,"Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A. (formerly Aguas Argentinas, S.A., Suez, Sociedad General de Aguas de Barcelona, S.A. and Vivendi Universal, S.A.)",Water services concession,ICSID,Argentina-France BIT,In favour of the investor,1200000000,unknownValue,383000000,USD,Jeswald W. SALACUSE,YES,Gabrielle KAUFMANN-KOHLER,YES,Pedro NIKKEN,YES,"In a July 2010 verdict on liability, Argentina was found in breach of treaty protections owed to a cluster of foreign investors in a Buenos Aires water and sewage concession, despite the admission of an amicus brief by human rights NGOs allied with Argentina. The damages phase is still pending.",http://www.italaw.com/cases/1057
UNC120,"Suez, Sociedad General de Aguas de Barcelona, S.A. and Interagua Servicios Integrales de Agua, S.A. v. Argentine Republic (ICSID Case No. ARB/03/17)",2003,2015,Argentina,France,"Suez, Sociedad General de Aguas de Barcelona, S.A. and Interagua Servicios Integrales de Agua, S.A.",Water services concession,ICSID,Argentina-France BIT; Argentina-Spain BIT,In favour of the investor,800000000,unknownValue,383000000,USD,Jeswald W. SALACUSE,YES,Gabrielle KAUFMANN-KOHLER,YES,Pedro NIKKEN,YES,"One of several disputes between Argentina and foreign investors arising from failed water privatizations in that country. Argentina accuses the consortium of Suez, AgBar, and Vivendi of various contractual performance failings, some involving water quality and pressure as well as expansion targets for connecting new customers to Buenos Aires’s water service. Meanwhile, the investors complain of a series of emergency measures, including a freeze on utility price hikes, taken in response to Argentina’s financial crisis. Jurisdiction was upheld in 2006, and a merits award is expected some time in 2009.",http://www.italaw.com/cases/1048
UNC123,Ed. Züblin AG v. Kingdom of Saudi Arabia (ICSID Case No. ARB/03/01),2003,unknownValue,Saudi Arabia,Germany,Ed. Züblin AG,construction of university facilities,ICSID,Germany-Saudi Arabia BIT,Settled,unknownValue,unknownValue,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue
UNC122,AWG Group Ltd. v. The Argentine Republic,2003,2015,Argentina,United Kingdom,AWG Group Ltd.,water distribution and waste water treatment,UNCITRAL,Argentina-United Kingdom BIT,In favour of the investor,1000000000,unknownValue,21000000,USD,Jeswald Salacuse,yes,Gabrielle Kaufmann-Kohler,Yes,Pedro Nikken,Yes,"An UNCITRAL arbitration against Argentina in connection with the water and wastewater concession for the city of Buenos Aires, pursuant to the applicable bilateral investment treaties. In a groundbreaking decision, the tribunal admitted an amicus curiae brief submitted by a group of NGOs on the side of the state. The investors nonetheless won on liability in July 2010. The damages phase is now pending.",www.italaw.com/cases/106
UNC042,Middle East Cement Shipping and Handling Co. v. Arab Egypt (ICSID Case No. ARB/99/6),1999,2002,Egypt,Greece,Middle East Cement Shipping and Handling Co.,Cement distribution enterprise,ICSID,Egypt-Greece BIT,In favour of the investor,unknownValue,unknownValue,3750000,USD,Karl-Heinz BÖCKSTIEGEL,YES,Piero BERNARDINI,YES,Don WALLACE Jr.,YES,unknownValue,unknownValue
UNC043,Link-Trading Joint Stock Company v. Department for Customs Control of the Moldova,1999,2002,Moldova,USA,Link-Trading Joint Stock Company,import of consumer products enterprise,UNCITRAL,Moldova-United States BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Tribunal of International Commercial Arbitration at the Russian Chamber of Commerce and Industry,unknownValue,NA,NA,NA,unknownValue,unknownValue,unknownValue
UNC040,Mondev International Ltd. v. USA (ICSID Case No. ARB(AF)/99/2),1999,2002,USA,Canada,Mondev International Ltd.,Commercial real estate development,ICSID AF,NAFTA,In favour of the State,unknownValue,unknownValue,NA,DU,Ninian STEPHEN,YES,James R. CRAWFORD,YES,Stephen M. SCHWEBEL,YES,unknownValue,unknownValue
UNC041,"Alex Genin, Eastern Credit Limited, Inc. and A.S. Baltoil v. The Estonia (ICSID Case No. ARB/99/2)",1999,2001,Estonia,USA,"Alex Genin, Eastern Credit Limited, Inc. and A.S. Baltoil",Banking enterprise,ICSID,Estonia-United States BIT,In favour of the State,unknownValue,unknownValue,NA,DU,L. Yves FORTIER,YES,Meir HETH,YES,Albert Jan VAN DEN BERG,YES,"The dispute concerned the cancellation of the Central Bank of Estonia of an operating licence held by Innovation Bank, a financial institution incorporated under Estonian laws which the claimants were shareholders.",unknownValue
UNC046,Ashok Sancheti v. Germany,2000,unknownValue,Germany,India,Ashok Sancheti,unknown,Data not available,Germany-India BIT,Settled,unknownValue,unknownValue,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,Not found
UNC128,Petrobart Ltd. v. The Kyrgyz Republic (SCC Case No. 126/2003),2003,2007,Kyrgyzstan,United Kingdom,Petrobart Ltd.,oil and gas,SCC,Energy Charter Treaty,In favour of the investor,DU,USD,1100000,USD,Hans Danelius,YES,Ove Bring,YES,Jeroen Smets,YES,Gas delivery contract ,http://www.italaw.com/cases/825
UNC044,Yaung Chi OO Trading Pte Ltd. v. Government of the Union of Myanmar (ASEAN I.D. Case No. ARB/01/1),2000,2001,Myanmar,Singapore,Yaung Chi OO Trading Pte Ltd.,Construction of a mosque,ICSID AF,1987 ASEAN Agreement; 1998 ASEAN Agreement,In favour of the State,unknownValue,unknownValue,NA,NA,Sompong Sucharitkul,unknownValue,James Crawford,unknownValue,Francis Delon,unknownValue,unknownValue,unknownValue
UNC045,Técnicas Medioambientales Tecmed v. United Mexican States (ICSID Case No. ARB(AF)/00/2),2000,2003,Mexico,Spain,Técnicas Medioambientales Tecmed,Waste disposal enterprise,ICSID AF,Mexico-Spain BIT,In favour of the investor,unknownValue,unknownValue,5533017,unknownValue,Horacio A. GRIGERA NAÓN,YES,José Carlos FERNÁNDEZ ROZAS,YES,Carlos BERNAL VEREA,YES,unknownValue,unknownValue
UNC518,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Bolivarian Venzuela (ICSID Case No. ARB/13/11)",2013,unknownValue,Venezuela,Spain,"Valores Mundiales, S.L. and Consorcio Andino S.L.",Food products enterprise,ICSID,Spain-Venezuela BIT,Pending,unknownValue,unknownValue,NA,NA,Eduardo ZULETA,YES,Horacio A. GRIGERA NAÓN,YES,Yves DERAINS,YES,unknownValue,unknownValue
UNC519,Erhas and others v. Turkmenistan,2013,unknownValue,Turkmenistan,Turkey,Erhas and others,unknownValue,UNCITRAL,Turkey-Turkmenistan BIT,Pending,DU,unknownValue,NA,NA,Alexis Mourre,YES,Stanimir Alexandrov,YES,Zachary Douglas,YES,unknownValue,http://www.italaw.com/cases/2360
UNC514,USA Steel Global Holdings I B.V. v. The Slovak Republic (PCA Case No. 2013-6),2013,2014,Slovakia,Netherlands,USA Steel Global Holdings I B.V.,steel plant,UNCITRAL,Netherlands-Slovakia BIT,Discontinued (for unknown reasons or reasons other than settlement),DU,USD,NA,DU,Michael Reisman,YES,James Crawford,YES,Robert Volterra,YES,unknownValue,http://www.italaw.com/cases/1903
UNC515,Windstream Energy LLC v. The Government of Canada,2013,unknownValue,Canada,USA,Windstream Energy LLC,wind energy,UNCITRAL,NAFTA,Pending,350000000,USD,NA,NA,Veijo Heiskanen,YES,Bernardo Cremades,YES,R. Doak Bishop,YES,unknownValue,http://www.italaw.com/cases/1585
UNC516,World Wide Minerals v. Kazakhstan,2013,unknownValue,Kazakhstan,Canada,World Wide Minerals,mining,UNCITRAL,Canada-USSR BIT,Pending,4000000000,unknownValue,NA,NA,Stanimir Alexandrov,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,"In the mid-1990s the Canadian mining company World Wide Minerals invested in a Kazakh uranium mine. WWM claims, however, that it did not receive promised export licenses and other rights under its agreements with the Kazakh state. WWM litigated against Kazakhstan and Kazatomprom for years in the USA courts, before finally opting for arbitration. WWM initially brought claims against both Kazakhstan and Kazatomprom, alleging breach of both contract and the Kazakh investment statute. After several months of discussions, WWM elected to go forward against Kazakhstan. Kazakhstan denied the claims, challenged them as untimely, and argued that the claimant lacked jurisdiction under the foreign investment law. The arbitrator dismissed WWM’s claims as untimely in December 2010",http://www.italaw.com/cases/2354
UNC517,CSP Equity Investment Sarl v. Kingdom of Spain,2013,unknownValue,Spain,Luxembourg,CSP Equity Investment Sarl,unknownValue,SCC,Energy Charter Treaty,Pending,unknownValue,unknownValue,NA,NA,DU,unknownValue,DU,unknownValue,DU,unknownValue,Claim arising in response to reform of renewable energy policy,http://www.italaw.com/cases/2303
UNC510,Le Chèque Déjeuner and C.D Holding Internationale v. Hungary (ICSID Case No. ARB/13/35),2013,unknownValue,Hungary,France,Le Chèque Déjeuner and C.D Holding Internationale,Social voucher services,ICSID,France-Hungary BIT,Pending,unknownValue,unknownValue,NA,NA,Karl-Heinz BÖCKSTIEGEL,YES,L. Yves FORTIER,YES,Daniel BETHLEHEM,YES,unknownValue,unknownValue
UNC511,"Cemusa - Corporación Europea de Mobiliario Urbano, S.A. and Corporación Americana de Equipamientos Urbanos, S.L. v. United Mexican States (ICSID Case No. ARB(AF)/13/2)",2013,2014,Mexico,Spain,"Cemusa - Corporación Europea de Mobiliario Urbano, S.A. and Corporación Americana de Equipamientos Urbanos, S.L.",Construction activities,ICSID AF,Mexico-Spain BIT,Discontinued (for unknown reasons or reasons other than settlement),unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue
UNC512,Erbil Serter v. French Republic (ICSID Case No. ARB/13/22),2013,unknownValue,France,Turkey,Erbil Serter,Ship hull design,ICSID,France-Turkey BIT,Pending,unknownValue,unknownValue,NA,NA,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue
UNC513,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Mr. Helmut Jungbluth v. Arab Egypt (ICSID Case No. ARB/13/37)",2013,unknownValue,Egypt,Germany,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Mr. Helmut Jungbluth",License plate supply and manufacturing project,ICSID,Egypt-Germany BIT,Pending,unknownValue,unknownValue,NA,NA,Hans VAN HOUTTE,YES,Arif Hyder ALI,YES,Mark A. CLODFELTER,YES,unknownValue,unknownValue
UNC219,Libananco Holdings Co. Limited v. Turkey (ICSID Case No. ARB/06/8),2006,2011,Turkey,Cyprus,Libananco Holdings Co. Limited,Electricity generation and distribution concessions,ICSID,Energy Charter Treaty,In favour of the State,10100000000,unknownValue,NA,DU,Michael HWANG,YES,Henri C. ÁLVAREZ,YES,Franklin BERMAN,YES,Electricity generation and distribution concessions (expropriation) ,unknownValue
UNC193,I&I Beheer B.V. v. Venezuela (ICSID Case No. ARB/05/4),2005,2007,Venezuela,Netherlands,I&I Beheer B.V.,Debt instruments,ICSID,Netherlands-Venezuela BIT,Discontinued (for unknown reasons or reasons other than settlement),300000000,USD,NA,DU,Karl-Heinz BÖCKSTIEGEL,YES,Charles N. BROWER,YES,Pierre-Marie DUPUY,YES,"Dutch company I&I Beheer B.V. brought a claim against Venezuela for alleged nonpayment of promissory notes said to have been issued by a Venezuelan state-owned bank, BANDAGRO. However, Venezuela insisted that the promissory notes were forgeries. After the claimants’ law firm withdrew, and an important pleading was not filed, the tribunal discontinued the case in December 2007.",None
UNC299,Alps Finance and Trade AG v. The Slovak Republic,2008,unknownValue,Slovakia,Switzerland,Alps Finance and Trade AG,Bankruptcy proceedings,UNCITRAL,Switzerland-Slovakia BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Antonio Crivellaro,YES,Bohuslav Klein,YES,Hans Stuber,YES,"The Alps Finance claim was born out of an agreement with a Slovak company, in which the claimant purchased credit owed by a bankrupt debtor. Efforts to enforce the credits were blocked by a Slovakian regional court, in what the claimant argued was a flawed decision.  Alps Finance held the Slovakian government responsible for the alleged incompetence of the regional court.",0
UNC341,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones v. Yemen (ICSID Case No. ARB/09/7),2009,2010,Yemen,United Arab Emirates,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones,Operation of a global system for mobile communications (GSM) network,ICSID,Yemen-United Arab Emirates BIT,Settled,unknownValue,unknownValue,DU,DU,Marc LALONDE,YES,Barton LEGUM,YES,Daniel M. PRICE,YES,unknownValue,unknownValue
UNC340,"Les Laboratoires Servier, S.A.S., Biofarma, S.A.S., Arts et Techniques du Progres S.A.S. v. Poland",2009,2012,Poland,France,"Les Laboratoires Servier, S.A.S., Biofarma, S.A.S., Arts et Techniques du Progres S.A.S.",pharmaceutical company,UNCITRAL,France-Poland BIT,In favour of the investor,305000000,unknownValue,5713800,USD,William Park,Yes,Marc Lalonde,DU,William Park,DU,unknownValue,http://www.italaw.com/cases/1179
UNC343,"EVN AG v. Macedonia, former Yugoslav (ICSID Case No. ARB/09/10)",2009,2011,Macedonia,Austria,EVN AG,Electricity distribution,ICSID,Energy Charter Treaty; Austria-Macedonia BIT,Settled,300000000,unknownValue,DU,DU,Piero BERNARDINI,YES,Vaughan LOWE,YES,Francisco ORREGO VICUÑA,YES,Electricity distribution (expropriation) ,unknownValue
UNC342,Chevron Corporation and Texaco Petroleum Company v. The Ecuador (PCA Case No. 2009-23) (II),2009,unknownValue,Ecuador,USA,Chevron Corporation and Texaco Petroleum Company,oil and gas,UNCITRAL,Ecuador-US BIT,Pending,DU,unknownValue,NA,NA,V.V. Veeder,YES,Horacio Grigera Naón,YES,Vaughan Lowe,YES,"Not to be confused with its more famous fight in the Amazon, this claim by Chevron under the USA-Ecuador BIT arose out of a series of oil supply disputes that long languished in Ecuador's courts. In the early 1990s Chevron’s predecessor Texaco filed seven court cases, alleging that Ecuador violated their 1973 production contract by requiring the company to supply Ecuador with more oil, at below-market prices, than it needed internally. In 2006 Chevron filed an arbitration supervised by the Permanent Court of Arbitration in The Hague. In March 2010 arbitrators ruled that chronic delays in the Ecuadorian courts breached the treaty's guarantee of an effective means of defense. The tribunal found that the damage amounted to $698.6 million, but in August 2011 -- after accounting for taxes -- it awarded net damages of only $96.3 million. In May 2012 the District Court of the Hague declined to set aside the award; Ecuador’s appeal from that ruling is pending.  In July 2012, Chevron moved to confirm the award in the USA District Court for the District of Columbia.",http://www.italaw.com/cases/257
UNC345,Itera International Energy LLC and Itera Group NV v. Georgia (ICSID Case No. ARB/09/22) (II),2009,2010,Georgia,USA/Netherlands,Itera International Energy LLC and Itera Group NV,Gas distribution enterprise,ICSID,Georgia-United States BIT; Georgia-Netherlands BIT,Settled,unknownValue,unknownValue,DU,DU,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,unknownValue,None
UNC344,Yury Bogdanov v. Moldova (SCC Case No. V (114/2009)) (III),2009,2010,Moldova,Russia,Yury Bogdanov,paint factory,SCC,Moldova-Russia BIT,In favour of the investor,53000,USD,53000,USD,Bo Nilsson,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/169
UNC347,Dunkeld International Investment Limited v. The Government of Belize (PCA Case No. 2010-13) (I),2009,unknownValue,Belize,United Kingdom,Dunkeld International Investment Limited,media,UNCITRAL,Belize-United Kingdom BIT,Pending,unknownValue,unknownValue,NA,NA,Albert Jan van den Berg,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/361
UNC346,Dow AgroSciences LLC v. Government of Canada,2009,2011,Canada,USA,Dow AgroSciences LLC,"agriculture, forestry and fishing",UNCITRAL,NAFTA,Settled,2000000,USD,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/3407
UNC349,CANACAR v. The USA,2009,unknownValue,USA,Mexico,CANACAR,transportation and storage,UNCITRAL,NAFTA,Pending,30000000000,USD,NA,NA,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/3443
UNC348,"Iberdrola Energía, S.A. v. Guatemala (ICSID Case No. ARB/09/5)",2009,2012,Guatemala,Spain,"Iberdrola Energía, S.A.",Electricity distribution concession,ICSID,Guatemala-Spain BIT,In favour of the State,185000000,unknownValue,NA,DU,Eduardo ZULETA,YES,Yves DERAINS,YES,Rodrigo OREAMUNO,YES,unknownValue,unknownValue
UNC583,Vodafone International Holdings BV v. India,2014,unknownValue,India,Netherlands,Vodafone International Holdings BV,telecom,UNCITRAL,India-Netherlands BIT,Pending,unknownValue,unknownValue,NA,NA,DU,unknownValue,L. Yves Fortier,Yes,Ramesh Chanda Lahoti,Yes,unknownValue,http://www.italaw.com/cases/2544
UNC469,Vattenfall AB and others v. Federal Germany (ICSID Case No. ARB/12/12) (II),2012,unknownValue,Germany,Sweden,Vattenfall AB and others,Nuclear power plant,ICSID,Energy Charter Treaty,Pending,5000000000,unknownValue,NA,NA,Albert Jan VAN DEN BERG,YES,Vaughan LOWE,YES,Charles N. BROWER,YES,Vattenfall claims compensation in response to the closure of the nuclear power plants Krümmel and Brunsbüttel,unknownValue
UNC581,Tariq Bashir and SA Interpétrol Burundi v. Burundi (ICSID Case No. ARB/14/31),2014,unknownValue,Burundi,Belgium,Tariq Bashir and SA Interpétrol Burundi,Petroleum products supply,ICSID,Belgium/Luxembourg-Burundi BIT,Pending,unknownValue,unknownValue,NA,NA,Jan PAULSSON,YES,Hamid G. GHARAVI,YES,Anna JOUBIN-BRET,YES,unknownValue,unknownValue
UNC580,A11Y Ltd. v. The Czech Republic,2014,unknownValue,Czech Republic,United Kingdom,A11Y Ltd.,medical technology,UNCITRAL,Czech Republic-United Kingdom BIT,Pending,unknownValue,unknownValue,NA,NA,L. Yves Fortier,unknownValue,Stanimir Alexandrov,Yes,Anna Joubin-Bret,Yes,unknownValue,0
UNC587,"IBT Group LLC., Constructor, Consulting and Engineering (Panamá), S.A., and International Business and Trade, LLC. v. Panama (ICSID Case No. ARB/14/33)",2014,unknownValue,Panama,USA,"IBT Group LLC., Constructor, Consulting and Engineering (Panamá), S.A., and International Business and Trade, LLC.",Asphalt manufacturing enterprise,ICSID,Panama-US BIT,Pending,unknownValue,unknownValue,NA,NA,Jesús Remón Peñalver,Yes,Stanimir A. ALEXANDROV,Yes,Rodrigo OREAMUNO,Yes,unknownValue,unknownValue
UNC586,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara v. Indonesia (ICSID Case No. ARB/14/15),2014,unknownValue,Indonesia,Netherlands,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara,Copper and gold mining project,ICSID,Indonesia-Netherlands BIT,Discontinued (for unknown reasons or reasons other than settlement),unknownValue,unknownValue,NA,DU,NA,unknownValue,NA,unknownValue,NA,unknownValue,unknownValue,unknownValue
UNC585,Red Eléctrica Internacional S.A.U. v. Plurinational State of Bolivia,2014,unknownValue,Bolivia,Spain,Red Eléctrica Internacional S.A.U.,electric power distribution,UNCITRAL,Bolivia-Spain BIT,Settled,unknownValue,unknownValue,DU,DU,DU,unknownValue,DU,unknownValue,DU,unknownValue,unknownValue,0
UNC584,Zelena N.V. and Energo-Zelena d.o.o Inđija v. Serbia (ICSID Case No. ARB/14/27),2014,unknownValue,Serbia,Belgium,Zelena N.V. and Energo-Zelena d.o.o Inđija,Waste management services,ICSID,Belgium/Luxembourg-Serbia BIT,Pending,unknownValue,unknownValue,NA,NA,Bruno SIMMA,YES,Karl-Heinz BÖCKSTIEGEL,YES,Vaughan LOWE,YES,unknownValue,unknownValue
UNC460,Veolia Propreté v. Arab Egypt (ICSID Case No. ARB/12/15),2012,unknownValue,Egypt,France,Veolia Propreté,Waste management services,ICSID,Egypt-France BIT,Pending,110000000,unknownValue,NA,NA,Abdulqawi Ahmed YUSUF,YES,Klaus SACHS,YES,Zachary DOUGLAS,YES,unknownValue,unknownValue
UNC461,Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt. v. Hungary (ICSID Case No. ARB/12/3),2012,2015,Hungary,United Kingdom,Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt.,Radio broadcasting enterprises,ICSID,Hungary-United Kingdom BIT,Pending,DU,unknownValue,NA,NA,Arthur W. ROVINE,YES,Marc LALONDE,YES,Zachary DOUGLAS,YES,Alleged unlawful expropriation/nationalization without compensation and without complying with other standards of treatment of Claimants’ investments related to Danubius Radio resulting from Respondent’s decision to conduct a tender procedure.,unknownValue
UNC589,Cyprus Popular Bank Public Co. Ltd. v. Hellenic Republic (ICSID Case No. ARB/14/16),2014,unknownValue,Greece,Cyprus,Cyprus Popular Bank Public Co. Ltd.,Debt instruments and banking services,ICSID,Cyprus-Greece BIT,Pending,unknownValue,unknownValue,NA,NA,Juan FERNÁNDEZ-ARMESTO,YES,Philippe SANDS,YES,Giorgio SACERDOTI,YES,"Nationalized by Cyprus in mid-2012 because of its exposure to Greek debt, Cyprus Popular Bank is arguing that Greece’s capital and liquidity assistance to Greek banks in early 2012 discriminated against foreign investors in violation of the Cyprus-Greece BIT. The respondent disputes Cyprus Popular’s claim. This case will test the power of investment claims in the context of sovereign restructuring, as well as the arbitrability of claims between one EU member state and an investor controlled by another. Turning the tables, Greece’s Marfin Bank announced in January that it planned to bring an arbitration against Cyprus for nationalizing its stake in Cyprus Popular.",unknownValue
UNC588,RWE Innogy GmbH and RWE Innogy Aersa S.A.U. v. Kingdom of Spain (ICSID Case No. ARB/14/34),2014,unknownValue,Spain,Germany,RWE Innogy GmbH and RWE Innogy Aersa S.A.U.,Renewable energy generation enterprise,ICSID,Energy Charter Treaty,Pending,DU,unknownValue,NA,NA,DU,unknownValue,DU,unknownValue,DU,unknownValue,unknownValue,Not found
UNC464,"Isolux Corsán Concesiones S.A. v. Peru, ICSID Case No. ARB/12/5",2012,2014,Peru,Spain,Isolux Corsán Concesiones S.A.,Electricity transmission concession,ICSID,Peru-Spain BIT,Settled,150000000,unknownValue,DU,DU,Hugo PEREZCANO DIAZ,YES,Alexis MOURRE,YES,Horacio A. GRIGERA NAÓN,YES,unknownValue,unknownValue
