ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC334,2013,$2.5 billion,2500000000,Gold Reserve Inc. v. Venezuela,Gold Reserve Inc.,Canada,Venezuela,White & Case,Foley Hoag,"ICSID/Washington, D.C.",David Williams; Piero Bernardini; Pierre-Marie Dupuy,David Williams,Piero Bernardini,Pierre-Marie Dupuy,"Canadian miner Gold Reserve complains that, following issuance of a construction permit for the Las Brisas project, one of the world's largest undeveloped gold and copper mines, Venezuela improperly delayed the commencement of construction, revoked the construction permit, terminated the concession agreements, and eventually took physical control of the mining property just days after Gold Reserve filed for arbitration in 2009. The respondent disputes Gold Reserve’s claims. The merits hearing took place in February 2012.",,TREATY
UNC335,2013,$200 million,200000000,"H&H Enterprises Investments, Inc. v. Arab Egypt","H&H Enterprises Investments, Inc.",USA,Egypt,"Weil, Gotshal & Manges; Crowell & Moring; Shalakany Law Office; Lalive Law Firm",Cleary Gottlieb Steen & Hamilton; Hafez; Egyptian State Lawsuits Authority,"ICSID/Washington, D.C.",Bernardo Cremades; Hamid Gharavi; Veijo Heiskanen,Bernardo Cremades,Hamid Gharavi,Veijo Heiskanen,,,TREATY
UNC336,2013,$1 billion,1000000000,Teinver S.A. v.  Argentina,Teinver S.A.,Spain,Argentina,King & Spalding,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Thomas Buergenthal; Henri C. Álvarez; Kamal Hossain,Thomas Buergenthal,Henri C. Álvarez,Kamal Hossain,Spanish investors are suing under the Spain-Argentina BIT over the nationalization of Argentina’s two largest airlines in 2008-09. The respondent disputes their claims. In December 2012 the arbitrators asserted jurisdiction.,,TREATY
UNC337,2013,$3 billion,3000000000,"Maersk Olie Algeriet, A/S v. Algeria","Maersk Olie Algeriet, A/S",Denmark,Algeria,King & Spalding,"Shearman & Sterling; Curtis, Mallet-Prevost, Colt & Mosle",ICSID/Paris,Gabrielle Kaufmann-Kohler; Kamal Hossain; David Williams,Gabrielle Kaufmann-Kohler,Kamal Hossain,David Williams,"A dispute under the Algeria-Denmark BIT, concerning the effect of Algeria's new Tax on Exceptional Profits on a project in the Algerian petroleum industry. The trial was held in November 2011 and the case was settled in March 2012, together with a commercial arbitration brought by Maersk and Anadarko Algeria Co. LLC. The settlement provided for extra deliveries of crude oil to Maersk worth about $920 million over the following year, and a moderate increase in Maersk's share of oil production for the remaining term of the contract. Anadarko received $1.8 billion in crude oil shipments over the following year, and adjustments to the contract that will provide Anadarko with additional oil worth $2.6 billion over the term of the project.",,TREATY
UNC340,2013,$305 million,305000000,"Les Laboratoires Servier S.A.S, Biofarma S.A.S, and Arts et Techniques du Progrès S.A.S v. Poland",Les Laboratoires Servier S.A.S,France,Poland,Dentons,Allen & Overy,UNCITRAL rules administered by the Permanent Court Of Arbitration/The Hague,Bernard Hanotiau; Marc Lalonde; William Park,Bernard Hanotiau,Marc Lalonde,William Park,,,TREATY
UNC342,2013,$1.6 billion,1600000000,Chevron Corp. and Texaco Petroleum Company v. Ecuador,Chevron Corp.,USA,Ecuador,King & Spalding; Quevedo & Ponce,"Winston & Strawn; Matrix Chambers; Attorney General, The Ecuador; Foley Hoag; Arnold & Porter",ICSID; Ad hoc (UNCITRAL); PCA - UNCITRAL Rules/The Hague,Charles Brower; Albert Jan van den Berg; Karl-Heinz Böckstiegel,Charles Brower,Albert Jan van den Berg,Karl-Heinz Böckstiegel,"Not to be confused with its more famous fight in the Amazon, this claim by Chevron under the USA-Ecuador BIT arose out of a series of oil supply disputes that long languished in Ecuador's courts. In the early 1990s Chevron’s predecessor Texaco filed seven court cases, alleging that Ecuador violated their 1973 production contract by requiring the company to supply Ecuador with more oil, at below-market prices, than it needed internally. In 2006 Chevron filed an arbitration supervised by the Permanent Court of Arbitration in The Hague. In March 2010 arbitrators ruled that chronic delays in the Ecuadorian courts breached the treaty's guarantee of an effective means of defense. The tribunal found that the damage amounted to $698.6 million, but in August 2011 -- after accounting for taxes -- it awarded net damages of only $96.3 million. In May 2012 the District Court of the Hague declined to set aside the award; Ecuador’s appeal from that ruling is pending.  In July 2012, Chevron moved to confirm the award in the USA District Court for the District of Columbia.",,TREATY
UNC348,2013,$185 million,185000000,Iberdrola Energia SA v. Guatemala,Iberdrola Energia SA,Spain,Guatemala,Uría & Menéndez,Freshfields Bruckhaus Deringer,"ICSID/Washington, D.C.",Eduardo Zuleta; Yves Derains; Rodrigo Oreamuno Blanco,Eduardo Zuleta,Yves Derains,Rodrigo Oreamuno Blanco,,,TREATY
UNC352,2013,$100 million,100000000,JSC BTA Bank v.  Kyrgyz Republic,JSC BTA Bank,Kazakhistan,Kyrgyzstan,White & Case,Michael Wilson & Partners Ltd.,Ad hoc (UNCITRAL),Daniel Bethlehem; Stephen Schwebel; Bruno Simma,Daniel Bethlehem,Stephen Schwebel,Bruno Simma,,,TREATY
UNC357,2013,More than $200 million,200000000,Pacific Rim Cayman v. El Salvador,Pacific Rim Cayman,USA,El Salvador,Crowell & Moring,Foley Hoag,ICSID,,,,,,,TREATY
UNC358,2013,$130 million,130000000,European American Investment Bank AG v. Slovak Republic,European American Investment Bank AG,Austria,Slovak Republic,Specht Bohm,Foley Hoag,PCA/The Hague,Christopher Greenwood; Brigitte Stern; Alexander Petsche,Christopher Greenwood,Brigitte Stern,Alexander Petsche,,,TREATY
UNC362,2013,$125 million,125000000,ECE Projektmanagement International GmbH v. Czech Republic,ECE Projektmanagement International GmbH,Germany,Czech Republic,While & Case; Norton Rose; Gray’s Inn Square,Squire Sanders,Ad hoc (UNCITRAL)/London,Sir Franklin Berman; Andreas Bucher; J. Christopher Thomas,Sir Franklin Berman,Andreas Bucher,J. Christopher Thomas,,,TREATY
UNC365,2013,$144 million,144000000,E.D.F. International v. Hungary,E.D.F. International,France,Hungary,Shearman & Sterling,"Weil, Gotshal & Manges; Kende, Molnár-Bíró, Katona",PCA/Zurich,Karl-Heinz Böckstiegel; Pierre-Marie Dupuy; Albert Jan van den Berg,Karl-Heinz Böckstiegel,Pierre-Marie Dupuy,Albert Jan van den Berg,,,TREATY
UNC369,2013,$500 million,500000000,"China Heilong International Economic & Technical Cooperative Corp., Beijing Shougang Mining Investment Company Limited, and Qinhuangdaoshi Qinlong International Industrial Co. Ltd. v. Mongolia",China Heilong International Economic & Technical Cooperative Corp.,China,Mongolia,Freshfields Bruckhaus Deringer,"Milbank, Tweed, Hadley & McCloy",Ad hoc (UNCITRAL)/Singapore,Yas Banifatemi; Mark Clodfelter; Donald Donovan,Yas Banifatemi,Mark Clodfelter,Donald Donovan,,,TREATY
UNC370,2013,$100 million,100000000,"Phillip Morris Brands Sarl, Philip Morris Products S.A., and Abal Herminos S.A. v. The Uruguay",Phillip Morris Brands Sarl,Switzerland,Uruguay,Lalive & Associates; Sidley and Austin,Foley Hoag,ICSID,Piero Bernardini; Gary Born; Jame Crawford,Piero Bernardini,Gary Born,Jame Crawford,,,TREATY
UNC373,2013,$460 million,460000000,"Hassan Awdi, Enterprise Business Consultants Inc., and Alfa El Corporation v. Romania","Hassan Awdi, Enterprise Business Consultants Inc. , and Alfa El Corporation",USA,Romania,Bredin Prat; Mayer Brown,Lalive and Leaua & Associatii,ICSID/Paris,Piero Bernardini; Rudolf Dolzer; Hamid Gharavi,Piero Bernardini,Rudolf Dolzer,Hamid Gharavi,,,TREATY
UNC375,2013,More than $100 million,100000000,Bozbey İnşaat Sanayi ve Ticaret Limited Şirketi et al. v. Turkmenistan,Bozbey İnşaat Sanayi ve Ticaret Limited Şirketi et al.,Turkey,Turkmenistan,Bailey Law,"Curtis, Mallet-Prevost, Colt & Mosle",Ad hoc (UNCITRAL)/The Hague,Gavan Griffith; Jeffrey Hertzfeld; John Fordham,Gavan Griffith,Jeffrey Hertzfeld,John Fordham,,,TREATY
UNC378,2013,$276 million,276000000,Bernhard von Pezold & Ors v. Zimbabwe,Bernhard von Pezold & Ors,Germany and Switzerland,Zimbabwe,Steptoe & Johnson; Wiley Rein,Kimbrough & Associes,"ICSID/Washington, D.C.",L. Yves Fortier; David A.R. Williams; An Chen,L. Yves Fortier,David A.R. Williams,An Chen,,,TREATY
UNC379,2013,$320 million,320000000,Border Timbers Ltd & Ors v. Zimbabwe,Border Timbers Ltd & Ors,Switzerland,Zimbabwe,Steptoe & Johnson; Wiley Rein,Kimbrough & Associes,"ICSID/Washington, D.C.",Yves Fortier; David A.R. Williams; An Chen,Yves Fortier,David A.R. Williams,An Chen,,,TREATY
UNC381,2013,$5 billion,5000000000,"Anatolie Stati, Gabriel Stati, Ascom Group SA, and Terra Trading Ltd. v. Kazakhstan",Anatolie Stati,Moldova,Kazakhstan,King & Spalding,"Winston & Strawn; Curtis, Mallet-Prevost, Colt & Mosle",SCC/ECT/Paris,David Haigh; Sergei Lebedev; Karl-Heinz Böckstiegel,David Haigh,Sergei Lebedev,Karl-Heinz Böckstiegel,"The Moldovan investors held three contracts for the exploration or extraction of hydrocarbons in western Kazakhstan. They argue that the state violated the Energy Charter Treaty by canceling the contracts under false pretenses and handing the assets to state-owned NC KazMunaiGas JSC, as well as failing to protect key personnel. Kazakhstan disputes that the claimants qualify under the treaty as “investors” with “investments” and argues that it was entitled to terminate the licenses due to material non-compliance by the claimants. The case on liability was tried in October 2012, and on damages in January and May 2013.",,TREATY
UNC382,2013,$263 million,263000000,Standard Chartered Bank v. United Tanzania,Standard Chartered Bank,United Kingdom,Tanzania,Herbert Smith Freehills; Dentons,Hunton & Williams; Mkono & Co Advocates,ICSID/London,William Park; Bartum Legum; Michael  Pryles,William Park,Bartum Legum,Michael Pryles,,,TREATY
UNC388,2013,$275 million,275000000,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi v. Turkmenistan,Kilic Insaat Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi,Turkey,Turkmenistan,Volterra Fietta,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID/Paris and London,William Rowley; Philippe Sands; William Park,William Rowley,Philippe Sands,William Park,,,TREATY
UNC389,2013,$600 million,600000000,Içkale Insaat Limited Sirketi v. Turkmenistan,Içkale Insaat Limited Sirketi,Turkey,Turkmenistan,Sakmar Law Office,"Curtis, Mallet-Prevost, Colt & Mosle; Gürel & Yörüker Law Firm",ICSID,Carolyn Lamm; Veijo Heiskanen; Fali Nariman,Carolyn Lamm,Veijo Heiskanen,Fali Nariman,,,TREATY
UNC392,2013,$270 million,270000000,Luigi Bosca v. Lithuania,Luigi Bosca,Italy,Lithuania,Crowell & Moring,Hughes Hubbard & Reed,UNCITRAL (PCA)/Stockholm,Marc Lalonde; Brigitte Stern; Daniel Price,Marc Lalonde,Brigitte Stern,Daniel Price,,,TREATY
UNC393,2013,$200 million,200000000,"Tidewater Inc., et al.;Tidewater Investment SRL; Tidewater Caribe, C.A.(Venezuela) v. Venezuela","Tidewater Inc., et al.",USA,Venezuela,Covington & Burling,"Curtis, Mallet-Prevost, Colt & Mosle","ICSID/Washington, D.C.",Campbell McLachlan; Andres Rigo Sureda; Brigitte Stern,Campbell McLachlan,Andres Rigo Sureda,Brigitte Stern,,,TREATY
UNC394,2013,$1.159 billion,1159000000,Universal Compression International Holdings S.L.U v. Venezuela,Universal Compression International Holdings S.L.U,Spain,Venezuela,King & Spalding; Despacho De Abogados Miembros De Macleod Dixon Caracas,"Curtis, Mallet-Prevost, Colt & Mosle","ICSID/Washington, D.C.",William Rowley; Guido Santiago Tawil; Brigitte Stern,William Rowley,Guido Santiago Tawil,Brigitte Stern,"A subsidiary of Houston’s Exterran Holdings Inc. sued under the Spain-Venezuela investment treaty over Venezuela’s 2009 nationalization of its gas compression business. A month after the five-day trial held in July 2012, Venezuela settled for $442 million. Venezuela paid an additional $112 million to Exterran in March 2012, to settle the ICSID claim brought over the seizure of its WilPro joint ventures with The Williams Cos. Inc.",,TREATY
UNC395,2013,$110 million,110000000,Convial Callao S.A. and CCI-Compania de Concesiones de Infrastructura S.A. v. Peru,Convial Callao S.A.  and CCI-Compania de Concesiones de Infrastructura S.A.,Argentina,Peru,Dechert,White & Case,"ICSID/Washington, D.C.",Vaughan Lowe; J. Christopher Thomas; Charles Brower,Vaughan Lowe,J. Christopher Thomas,Charles Brower,,,TREATY
UNC396,2013,$500 million,500000000,RSM Production Corporation v. Government of Grenada,RSM Production Corporation,USA,Grenada,"Dewey & LeBoeuf; Grand, Auzas and Associés",Freshfields Bruckhaus Deringer,"ICSID/Washington, D.C.",William Rowley; Edward Nottingham; Pierre Tercier,William Rowley,Edward Nottingham,Pierre Tercier,,,TREATY
UNC397,2013,$100 million,100000000,ST AD GmbH v. Bulgaria,ST AD GmbH,Germany,Bulgaria,Sidley Austin,Arsène Verny,Ad hoc (UNCITRAL)/The Hague,Brigitte Stern; Bohuslav Klein; Christopher Thomas,Brigitte Stern,Bohuslav Klein,Christopher Thomas,,,TREATY
UNC399,2013,$140 million,140000000,Rurelec plc and Guaracachi America Inc v. Plurinational State of Bolivia,Rurelec plc,USA,Bolivia,Freshfields Bruckhaus Deringer; Guevara & Gutierrez,Dechert; Attorney General's Office,UNCITRAL (PCA),J M Júdice; Manuel Conthe; Raul Vinuesa,J M Júdice,Manuel Conthe,Raul Vinuesa,,,TREATY
UNC401,2013,$450 million,450000000,Metal-Tech Ltd. v. Uzbekistan,Metal-Tech Ltd.,Israel,Uzbekistan,Covington & Burling,White & Case,"ICSID/Washington, D.C.",Gabrielle Kaufmann-Kohler; John Townsend; Claus von Wobeser,Gabrielle Kaufmann-Kohler,John Townsend,Claus von Wobeser,,,TREATY
UNC402,2013,$285 million,285000000,TECO Energy v. Guatemala,TECO Energy,USA,Guatemala,White & Case,Freshfields Bruckhaus Deringer,"ICSID/Washington, D.C.",Alexis Mourre; William Park; Claus von Wobeser,Alexis Mourre,William Park,Claus von Wobeser,,,TREATY
UNC404,2013,$120 million,120000000,Murphy Exploration and Production Company International v. Ecuador,Murphy Exploration,USA,Ecuador,"King & Spalding; Perez, Bustamante & Ponce",Foley Hoag,Ad hoc (UNCITRAL),Bernard Hanotiou; Kaj Hober; Georges Abi Saab,Bernard Hanotiou,Kaj Hober,Georges Abi Saab,,,TREATY
UNC406,2013,$3.2 billion,3200000000,Crystallex International Corporation v.  Venezuela,Crystallex International Corporation,Canada,Venezuela,Freshfields Bruckhaus Deringer,Foley Hoag,ICSID,Laurent Lévy; John  Gotanda; Florentino Feliciano,Laurent Lévy,John Gotanda,Florentino Feliciano,"An ICSID Additional Facility claim filed in 2011 by a Canadian miner under the Canada/Venezuela BIT, arising out of the alleged expropriation of one of the largest untapped gold mines in the world. The respondent disputes the claims. The Las Cristinas mine also inspired an earlier (failed) claim by Vannessa Ventures.",,TREATY
NOT035,2013,$2.5 billion,2500000000,Mobile Telesystems OJSC v. Uzbekistan,Mobile Telesystems OJSC,Russia,Uzbekistan,Debevoise & Plimpton,"Boies, Schiller & Flexner",ICSID,W. Michael Reisman,W. Michael Reisman,,,"Russia’s leading cellphone group, MTS is bringing an ICSID Additional Facility claim based on Uzbekistan’s revocation of the telecommunications licences of its Uzdunrobita subsidiary, the imposition of fines, detention of Uzdunrobita's employees, and seizure of the company's assets. The respondent disputes MTS’s claims. The Request for Arbitration was registered in November 2012.",,TREATY
UNC407,2013,$855 million,855000000,Mobile Telesystems OJSC v. Turkmenistan,Mobile Telesystems OJSC,Russia,Turkmenistan,White & Case,Curtis Mallet-Prevost Colt & Mosle,ICSID,Campbell McLachlan; Michael Pryles; Thomas Buergenthal,Campbell McLachlan,Michael Pryles,Thomas Buergenthal,,,TREATY
UNC409,2013,$120 million,120000000,Indorama International Finance Limited v. Egypt,Indorama International Finance Limited,United Kingdom,Egypt,Latham & Watkins,Bredin Prat,ICSID,Donald McRae; Christoph Schreuer; Zachary Douglas,Donald McRae,Christoph Schreuer,Zachary Douglas,,,TREATY
UNC410,2013,$150 million,150000000,"Gambrinus, Corp. v. Venezuela","Gambrinus, Corp.",Barbados,Venezuela,"Skadden, Arps, Slate, Meagher & Flom",Procuraduria General de la Republica Bolivariana de Venezuela; Hogan Lovells,ICSID/Paris,Piero Bernardini; Marc Lalonde; Pierre-Marie Dupuy,Piero Bernardini,Marc Lalonde,Pierre-Marie Dupuy,,,TREATY
UNC413,2013,$650 million,650000000,Koch Minerals Sarl Switzerland) and Koch Nitrogen International Sarl v. Venezuela,Koch Minerals Sarl Switzerland) and Koch Nitrogen International Sarl,Switzerland,Venezuela,Latham & Watkins; Chadbourne & Parke; Vplterra Fietta,Sherman & Sterling,ICSID,V.V. Veeder; Marc Lalonde; Florentino Feliciano,V.V. Veeder,Marc Lalonde,Florentino Feliciano,,,TREATY
UNC414,2013,More than $200 million,200000000,"Khan Resources, Inc. v. Government of Mongolia","Khan Resources, Inc.",Canada,Mongolia,Crowell & Moring,Hogan Lovells,Permanent Court of Arbitration (PCA)/Paris,David Williams; L. Yves Fortier; Bernard Hanotiau,David Williams,L. Yves Fortier,Bernard Hanotiau,,,TREATY
UNC415,2013,$400 million,400000000,Vigotop Limited v. Hungary,Vigotop Limited,Cyprus,Hungary,Volterra Fietta; Sàntha & Pozsgai Law Office,White & Case; Réczizca; Sàrhegyi és Tàrsai Law Firm,"ICSID/Washington, D.C.",Pierre Tercier; Vaughan Lowe; Albert Jan van den Berg,Pierre Tercier,Vaughan Lowe,Albert Jan van den Berg,,,TREATY
UNC417,2013,$450 million,450000000,Tulip Real Estate and Development Netherlands BV v. Turkey,Tulip Real Estate  and Development Netherlands BV,Netherlands,Turkey,Crowell & Moring,Lalive; Nixon Peabody; Kuyesri; Kuseyri HUnited KingdomUnited Kingdom Bürosu,ICSID/Paris,Gavin Griffin; Michael Jaffe; Rolf Knieper,Gavin Griffin,Michael Jaffe,Rolf Knieper,,,TREATY
UNC418,2013,$100 million,100000000,Garanti Koza LLP v. Turkmenistan,Garanti Koza LLP,United Kingdom,Turkmenistan,Gur Law Firm,"Curtis, Mallet-Prevost, Colt & Mosle","ICSID/Washington, D.C.",John Townsend; George Lambrou; Laurence Boisson de Chazournes,John Townsend,George Lambrou,Laurence Boisson de Chazournes,,,TREATY
UNC419,2013,$788 million,788000000,Mesa Power Group LLC v. Government of Canada,Mesa Power Group LLC,USA,Canada,Appleton & Associates International Lawyers,"Office of the Deputy Attorney General of Canada; Foreign Affairs & International Trade, Canada",PCA - NAFTA Arbitration,Gabrielle Kaufmann-Kohler; Toby Landau; CharlesBrower,Gabrielle Kaufmann-Kohler,Toby Landau,CharlesBrower,,,TREATY
UNC420,2013,$800 million,800000000,The Renco Group v. Peru,The Renco Group,USA,Peru,King & Spalding,Baker & McKenzie; White & Case,Ad hoc (UNCITRAL),,,,,,,TREATY
UNC422,2013,$1.1 billion,1100000000,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Egypt","Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E.",UAE,Egypt,Clifford Chance; King & Spalding,Shearman & Sterling,ICSID/Paris,Pierre Tercier; Daniel Price; Toby Landau,Pierre Tercier,Daniel Price,Toby Landau,A group of Gulf State real estate investors allege that Egypt seized their land development projects in violation of the UAE-Egypt BIT after the Arab Spring. Egypt alleges that the claimants’ investment was made through the corruption of prior government officials.  In December the tribunal denied the respondent's request for bifurcation.,,TREATY
UNC424,2013,Billions,,Philip Morris Asia Ltd v. Commonwealth of Australia,Philip Morris Asia Ltd,Hong Kong,Australia,Sidley Austin,Dentons; Australian Government Solicitor,UNCITRAL case administered by PCA/Singapore,Karl-Heinz Böckstiegel; Gabrielle Kaufmann-Kohler; Donald McRae,Karl-Heinz Böckstiegel,Gabrielle Kaufmann-Kohler,Donald McRae,"Philip Morris argues that Australia's ""plain packaging"" regulations for tobacco products deprive the company of its intellectual property rights and the use of its valuable brands, in violation of the investment agreement between Hong Kong and Australia. Australia responds that the measures are a legitimate exercise of its regulatory authority to protect the health of its citizens. Australia also argues that the claim is an abuse of the treaty because Philip Morris acquired its investment after the plain packaging regulations were announced. Australia’s tobacco policy has also been challenged in the WTO by the United Kingdom, Honduras, and the Dominican Republic. Philip Morris has filed a similar treaty claim against Uruguay. Both treaty claims are at the jurisdictional stage.",,TREATY
UNC425,2013,$100 million,100000000,Agility for Public Warehousing Company v. Islamic Pakistan,Agility for Public Warehousing Company,Kuwait,Pakistan,Kirkland & Ellis,Qamar Vardag & Associates,"ICSID/Washington, D.C.",L. Yves Fortier; Charles Brower; Salim Moollan,L. Yves Fortier,Charles Brower,Salim Moollan,,,TREATY
UNC427,2013,$500 million,500000000,Longreef Investments v. Venezuela,Longreef Investments,Netherlands,Venezuela,Baker & McKenzie,Procuraduría General de la República in Caracas; Arnold & Porter,"ICSID/Washington, D.C.",David A.O. Edward; Enrique Gómez Pinzón; Alexis Mourre,David A.O. Edward,Enrique Gómez Pinzón,Alexis Mourre,,,TREATY
UNC428,2013,939 million,939000000,O.I. European Group B.V. v.  Venezuela,O.I. European Group B.V.,Netherlands,Venezuela,Volterra Fietta; Latham & Watkins,Shearman & Sterling,"ICSID/Washington, D.C.",Juan Fernandez Armesto; Francisco Orrego Vicuňa; Alexis Mourre,Juan Fernandez Armesto,Francisco Orrego Vicuňa,Alexis Mourre,,,TREATY
UNC429,2013,$100 million,100000000,Hesham al-Warraq v. Indonesia,Hesham al-Warraq,Saudi Arabia,Indonesia,Dentons,12 Gray’s Inn Chambers; KarimSyah,Ad hoc (Organisation of Islamic Conferences Investment Agreement)/Singapore,Bernardo Cremades; Fali Nariman; Michael Hwang,Bernardo Cremades,Fali Nariman,Michael Hwang,,,TREATY
UNC431,2013,$700 million,700000000,"The Williams Companies, Internt'l Holdings B.V.,and WilPro Energy Services v. Venezuela","The Williams Companies ,and WilPro Energy Services",Netherlands,Venezuela,"Weil, Gotshal & Manges","Curtis, Mallet-Prevost, Colt & Mosle","ICSID/Washington, D.C.",,,,,,,TREATY
UNC434,2013,$133 million,133000000,Hortensia Margarita Shortt v. Venezuela,Hortensia Margarita Shortt,Mauritius,Venezuela,Javier Manstretta; Ignacio de Leon,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,,,,,,,TREATY
UNC435,2013,$430 million,430000000,Bawabet Al Kuwait Holding Company v. Arab Egypt,Bawabet Al Kuwait Holding Company,Kuwait,Egypt,Clifford Chance; Hafez,Legal Counselor to the Prime Minister of Egypt; Shearman & Sterling,ICSID/London,Teresa Cheng; Philippe Sands; Bernard Hanotiau,Teresa Cheng,Philippe Sands,Bernard Hanotiau,,,TREATY
UNC439,2013,$120 million,120000000,Copper Mesa Mining Corporation v.  Ecuador,Copper Mesa Mining Corporation,Canada,Ecuador,McMillan,Lalive; Procuraduría General del Estado,Ad hoc (UNCITRAL)/The Hague,V. V. Vedder; Bernardo Cremades; Bruno Simma,V. V. Vedder,Bernardo Cremades,Bruno Simma,,,TREATY
UNC440,2013,$150 million,150000000,Merck Sharpe & Dohme (I.A.) Corporation v.  Ecuador,Merck Sharpe & Dohme,I.A.,Ecuador,Wilmer Cutler Pickering Hale and Dorr,Foley Hoag,PCA,Franklin Berman; Stephen Schwebel; Bruno Simma,Franklin Berman,Stephen Schwebel,Bruno Simma,,,TREATY
UNC441,2013,$100 million,100000000,Rafat Rizvi v.  Indonesia,Rafat Rizvi,United Kingdom,Indonesia,Dentons,12 Gray’s Inn Chambers; KarimSyah,ICSID/Singapore,Gavan Griffith; M Sornorajah; Joan Donaghue,Gavan Griffith,M Sornorajah,Joan Donaghue,,,TREATY
UNC442,2013,$500 million,500000000,Türkiye Petrolleri Anonim Ortakligi v. Kazakhstan,Türkiye Petrolleri Anonim Ortakligi,Turkey,Kazakhstan,Hughes Hubbard & Reed,Reed Smith; Essex Court Chambers; 20 Essex Street Chambers,"ICSID/Washington, D.C.",Donald McRae; Brigette Stern; Charles Brower,Donald McRae,Brigette Stern,Charles Brower,,,TREATY
UNC443,2013,$100 million,100000000,National Gas S.A.E v. Arab Egypt,National Gas S.A.E,Egypt,Egypt,Shalakany Law Office,Bredin Prat,ICSID,V.V. Veeder; L. Yves Fortier; Brigitte Stern,V.V. Veeder,L. Yves Fortier,Brigitte Stern,,,TREATY
UNC444,2013,$1.2 billion,1200000000,"Oxus Gold v. Uzbekistan, Navoi Mining & Metallurgical Kombinat and State Committee of Uzbekistan for Geology & Mineral Resources",Oxus Gold,United Kingdom,Uzbekistan,Amsterdam & Peroff; Derains & Gharavi,White & Case; Dewey & LeBoeuf,Ad hoc (UNCITRAL)/Geneva,Pierre Tercier; Brigitte Stern; Marc Lalonde,Pierre Tercier,Brigitte Stern,Marc Lalonde,"An ad hoc arbitration filed under the UNCITRAL rules, and funded by Calunius Capital LLP, alleging expropriation of Oxus Gold’s share of the Amantaytau Goldfields mining operation, in violation of the Uzbekistan-United Kingdom investment treaty. The respondent disputes Oxus Gold’s claims.",,TREATY
UNC446,2013,$116 million,116000000,Baggerwerken Decloedt En Zoon v. the Philippines,Baggerwerken Decloedt En Zoon,Belgium,Philippines,Allen & Overy,White & Case,"ICSID/Washington, D.C.",Pierre Tercier; Stanimir Alexandrov; J. Christopher Thomas,Pierre Tercier,Stanimir Alexandrov,J. Christopher Thomas,,,TREATY
UNC447,2013,$560 million,560000000,Adel A Hamadi Al Tamimi v. Sultanate of Oman,Adel A Hamadi Al Tamimi,USA,Oman,"Weil, Gotshal & Manges",DLA Piper,"ICSID/Washington, D.C.",David A.R. Williams; Charles Brower; J. Christopher Thomas,David A.R. Williams,Charles Brower,J. Christopher Thomas,,,TREATY
UNC448,2013,$1 billion,1000000000,Fraport AG Frankfurt Airport Services Worldwide v. the Philippines,Fraport AG Frankfurt Airport Services Worldwide,Germany,Philippines,"Milbank, Tweed, Hadley & McCloy; McDermott Will & Emery",White & Case,"ICSID/Washington, D.C.",Piero Bernardini; Stanimir  Alexandrov; Albert Jan Van Den Berg,Piero Bernardini,Stanimir Alexandrov,Albert Jan Van Den Berg,"In 2004, after Frankfurt airport’s Fraport had spent more than $425 million to build a new terminal at Manila’s Ninoy Aquino International Airport, the Philippines seized the nearly-complete facility. In 2007 a divided tribunal declined jurisdiction over Fraport’s treaty claim. However, in 2010 an ICSID review committee found a serious violation of a fundamental rule of procedure and annulled that result. Fraport submitted a new request for ICSID arbitration in March 2011. The parallel contract arbitration by PIATCO is still pending. The Philippines pledged in January 2013 that the terminal would finally be fully operational by year’s end. But the Germans are still seeking compensation.",,TREATY
UNC449,2013,$100 million,100000000,Nova Scotia Power v. Venezuela,Nova Scotia Power,Canada,Venezuela,Torys,Foley Hoag,ICSID/Paris,Hans van Houtte; Raul Vinuesa; David A.R. Williams,Hans van Houtte,Raul Vinuesa,David A.R. Williams,,,TREATY
UNC450,2013,$7 billion,7000000000,Renée Rose de Levy de Levi v. Peru,Renée Rose de Levy de Levi,France,Peru,Estudio Paitan & Abogados,Sidley Austin,"ICSID/Washington, D.C.",Rodrigo Oreamuno; Bernard Hanotiau; Joaquim Morales Godoy,Rodrigo Oreamuno,Bernard Hanotiau,Joaquim Morales Godoy,"Peru’s bank regulator liquidated Banco Nuevo Mundo during that nation’s financial crisis of 1999. In a claim filed under the France-Peru investment treaty, shareholder Renée Rose Levy argues that the bank was still solvent, and the regulator acted improperly. In arguments on jurisdiction, Peru suggested that Peruvian members of the Levy family transferred share ownership to French citizen Renée Rose only to create BIT jurisdiction, five years after the claim arose. The hearing was held in November 2012.",,TREATY
