ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC154,2009,$100 million,100000000,"Cargill, Inc. v. Poland","Cargill, Inc.",USA,Poland,Sidley Austin,Soltysinski Kawecki & Szlezak,ICSID under UNCITRAL rules/Paris,"Gabrielle Kaufmann-Kohler, Emmanuel Gaillard, Bernard Hanotiau",Gabrielle Kaufmann-Kohler,,Emmanuel Gaillard,Bernard Hanotiau,"Cargill secured a $16.3 million (plus interest) award in 2008 in a dispute with Poland. The USA agricultural giant had claimed that Poland harmed Cargill’s isoglucose business, and should pay more than $100 million in compensation for breaching a USA–Poland economic relations treaty. The dispute touched upon Poland’s preparation to join the European Union—and that bloc’s Common Agricultural Policy—as well as the country’s subsequent conduct as an EU member.",,TREATY
UNC155,2009,Over $1.3 billion,1300000000,Total S.A. v. Argentine Republic,Total S.A.,France,Argentina,Freshfields Bruckhaus Deringer; Abeledo Gottheil Abogados,Attorney general of Argentina,"ICSID/Washington, D.C.","Giorgio Sacerdoti (president), Luis Herrera Marcano, Henri Alvarez",Giorgio Sacerdoti,yes,Luis Herrera Marcano,Henri Alvarez,"In one of the largest claims to arise out of the Argentine financial crisis, Total is claiming losses in three separate business ventures: oil exploration and production, gas transportation, and electricity generation. An award on liability could be forthcoming in 2009. The Argentine attorney general’s office argues that Total’s investments in the Argentine natural gas sector and electricity sector were made in 2000–2001, a period when investors should have been aware that government action would be necessary to avert the gathering financial crisis.",,TREATY
UNC157,2009,Over $100 million,100000000,"Gemplus, S.A. and Gemplus Industrial, S.A. de C.V. v. The United Mexican States","Gemplus, S.A. and Gemplus Industrial, S.A. de C.V.",France,Mexico,Baker & McKenzie; Matrix Chambers,Pillsbury Winthrop; Thomas & Partners,"ICSID/ Washington, D.C.","V.V. Veeder (president), L. Yves Fortier, Eduardo Magallón Gómez",V.V. Veeder,yes,L. Yves Fortier,Eduardo Magallón Gómez,"The claimants are subsidiaries of Gemalto, the world’s leader in digital security. Gemalto is seeking compensation for Mexico’s alleged destruction of Gemalto’s investment in the first private nationwide motor vehicle registration system. This project became a hot political issue during the 2000 presidential election campaign and has been front-page news in Mexico and throughout Latin America. An award is expected any time in 2009.",,TREATY
UNC158,2009,Over $100 million,100000000,"Talsud, S.A. v. The United Mexican States","Talsud, S.A.",Argentina,Mexico,Baker & McKenzie; Matrix Chambers,Pillsbury Winthrop; Thomas & Partners,"ICSID/ Washington, D.C.","V.V. Veeder (president); L. Yves Fortier, Eduardo Magallón Gómez",V.V. Veeder,yes,L. Yves Fortier,Eduardo Magallón Gómez,"Talsud, S.A. alleges that Mexico destroyed its investment in Mexico’s first private nationwide motor vehicle registration system. (See the Gemplus case, above, for more on the dispute.) An award is expected any time in 2009.",,TREATY
UNC167,2009,Approximately $300 million,300000000,Corn Products International v. Government of Mexico,Corn Products International,USA,Mexico,Steptoe & Johnson,Thomas & Partners; Pillsbury Winthrop Shaw Pittman,ICSID Additional Facility/Toronto,"Christopher Greenwood, Andreas Lowenfeld, Jesus Serrano de la Vega",Christopher Greenwood,,Andreas Lowenfeld,Jesus Serrano de la Vega,One of three NAFTA arbitrations spawned by a controversial 20 percent Mexican tax on soft drink bottlers who use sweeteners other than cane sugar. CPI complained that the tax walloped the company’s high fructose corn syrup plant in Mexico. The tax at issue has been found in a WTO proceeding to violate international trade rules. In January 2008 arbitrators ruled that the tax also breached investor protections contained in NAFTA Chapter 11. Hearings on damages are under way.,,TREATY
UNC168,2009,$225 million,225000000,"Archer Daniels Midland Company and Tate & Lyle Ingredients Americas, Inc. v. Mexico","Archer Daniels Midland Company and Tate & Lyle Ingredients Americas, Inc.",USA,Mexico,Akin Gump Strauss Hauer & Feld; Sidley Austin,Pillsbury Winthrop Shaw Pittman,"ICSID/Washington, D.C.","Bernardo Cremades, Arthur Rovine, Eduardo Siqueiros",Bernardo Cremades,,Arthur Rovine,Eduardo Siqueiros,"One of three NAFTA arbitrations spawned by a controversial 20 percent Mexican tax on soft drink bottlers who use sweeteners other than cane sugar. CPI complained that the tax walloped the company’s high fructose corn syrup plant in Mexico. The tax at issue has been found in a WTO proceeding to violate international trade rules. In November 2007, arbitrators ruled that the tax breached investor protections contained in NAFTA Chapter 11. ADM was awarded $33.5 million.",,TREATY
UNC169,2009,$140 million,140000000,Trinh Vinh Binh and Binh Chau Joint Stock Company v. Socialist Vietnam,Trinh Vinh Binh and Binh Chau Joint Stock Company,Netherlands,Vietnam,King & Spalding,Gide Loyrette Nouel,Ad hoc (UNCITRAL)/Stockholm,"Kaj Hobér, Mark Baker, Brigitte Stern",Kaj Hobér,,Mark Baker,Brigitte Stern,"A claim filed under Netherlands–Vietnam BIT by an overseas Vietnamese who returned to invest in real estate. The investor’s property was confiscated, and he was jailed by the Province of Ba Ria-Vung Tau for alleged land law violations and bribery. The first investment treaty claim against Vietnam, the dispute was settled confidentially in 2006 and formally terminated by order of the tribunal in March 2007.",,TREATY
UNC170,2009,$100 million (including interest),100000000,Jan de Nul N.V. and Dredging International N.V. v. The Arab Egypt,Jan de Nul N.V. and Dredging International N.V.,Belgium,Arab Egypt,Bonelli Erede Pappalardo,Bredin Prat,ICSID/ Paris,"Gabrielle Kaufmann-Kohler (president), Pierre Mayer, Brigitte Stern",Gabrielle Kaufmann-Kohler,yes,Pierre Mayer,Brigitte Stern,"A pair of Belgian dredging firms claimed that Egypt’s Suez Canal Authority deliberately misled them when they signed on to widen and deepen the Suez Canal. The companies expended far more time and money than they had anticipated, but were unsuccessful in their bid to hold Egypt liable for their additional expenditures. Arbitrators ruled that the actions of the Suez Canal Authority were not attributable to the Egyptian state, thus precluding any liability on the state’s part.",,TREATY
UNC171,2009,$900 million,900000000,BP America Production Co. v. Argentine Republic,BP America Production Co.,USA,Argentina,"King & Spalding; Perez, Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr.",Procurador del Tesero de la Nacion,"ICSID/Washington, D.C.","Lucius Caflisch, Albert Jan van den Berg, Brigitte Stern",Lucius Caflisch,,Albert Jan van den Berg,Brigitte Stern,"BP claimed that investments in hydrocarbons and electricity production were sideswiped by the emergency measures introduced to stabilize the Argentine economy during a crisis earlier this decade. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis. A settlement was reached in August 2008.",,TREATY
UNC172,2009,$500 million,500000000,Cemex Asia Holdings Ltd. v. Indonesia,Cemex Asia Holdings Ltd.,Singapore,Indonesia,"Skadden, Arps, Slate, Meagher & Flom",White & Case,ICSID/Delocalized proceeding pursuant to the ICSID convention,"L. Yves Fortier, Robert von Mehren, Brigitte Stern",L. Yves Fortier,,Robert von Mehren,Brigitte Stern,"The Mexican cement manufacturer Cemex SA de CV bought a 25 percent stake in the Indonesian state-owned cement producer, PT Semen Gresik, in 1998. Alleging management problems at regional subsidiaries of Semen Gresik, Cemex Asia sought the return of its investment or damages for breach of the conditional sale and purchase agreement. In addition, Cemex made the first ICSID claim under the 1987 ASEAN Treaty, citing expropriation and unfair and inequitable treatment. The case settled in August 2006 on confidential terms after Cemex Asia sold its stake in Semen Gresik to the Indonesia-based Rajawali Group for about $337 million. An award embodying the settlement was issued in February 2007. ",,TREATY
UNC174,2009,$1.2 billion,1200000000,Vannessa Ventures Ltd. v. Venezuela,Vannessa Ventures Ltd.,Canada,Venezuela,Torys,Arnold & Porter; Foley Hoag; attorney general of Venezuela,ICSID/Paris,"Robert Briner (president), Charles Brower, Brigitte Stern",Robert Briner,yes,Charles Brower,Brigitte Stern,"This Canada-Venezuela BIT case concerns Vannessa’s alleged acquisition of gold and copper mining rights in Venezuela from Placer Dome Inc. for $50 and future royalties. In August 2008, an ICSID tribunal dismissed three of Venezuela’s jurisdictional objections, and ruled that a fourth objection will need to be examined in more detail at a later phase of the proceedings. A second claimant, Cystallex, has threatened to sue Venezuela over the same mining concession, claiming to be the rightful owner of the concession and arguing that the earlier deal between Placer Dome and Vannessa was never legally consummated.",,TREATY
UNC175,2009,$120 million,120000000,SAUR International S.A. v. Argentine Republic,SAUR International S.A.,France,Argentina,Shearman & Sterling,Attorney general of Argentina,"ICSID/Washington, D.C.","Juan Fernández-Armesto (chair), Bernard Hanotiau, Christian Tomuschat",Juan Fernández-Armesto,yes,Bernard Hanotiau,Christian Tomuschat,"A BIT claim in the water sector, arising out of the Argentine financial crisis. The tribunal asserted jurisdiction in February 2006. Following a request by the parties, the proceedings have been suspended since October 2006.",,TREATY
UNC177,2009,$285 million,285000000,Wintershall Aktiengesellschaft v. The Argentine Republic,Wintershall Aktiengesellschaft,Germany,Argentina,"Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr",Attorney general of Argentina,"ICSID/Washington, D.C.","Fali Nariman, Piero Bernardini, Santiago Torres Bernárdez",Fali Nariman,,Piero Bernardini,Santiago Torres Bernárdez,"Wintershall hoped to number amongst the dozens of foreign investors to sue over emergency measures taken during the Argentine financial crisis of the early 2000s. However, in December 2008, a panel of ICSID arbitrators declined jurisdiction over the claim. Arbitrators ruled that Wintershall failed to turn to the local courts for a minimum of 18 months—as required under the Germany–Argentina BIT—and that the claimant could not avoid this requirement by invoking the BIT’s Most-Favoured Nation (MFN) clause and seeking fast-track arbitration options contained in other treaties concluded by Argentina.",,TREATY
UNC178,2009,$100 million (including interest and counterclaim),100000000,DUnited Kingdome Energy Electroquil Partners and Electroquil S.A. v. The Ecuador,DUnited Kingdome Energy Electroquil Partners and Electroquil S.A.,USA,Ecuador,Fulbright & Jaworski; Crowell & Moring; Coronel & Perez,Latham & Watkins; Cabezas & Wray,"ICSID/ Washington, D.C.","Gabrielle Kaufmann-Kohler (president), Albert Jan van den Berg, Enrique Gómez-Pinzón",Gabrielle Kaufmann-Kohler,yes,Albert Jan van den Berg,Enrique Gómez-Pinzón,"DUnited Kingdome Energy netted an arbitral award of a mere $5.578 million out of more than $25 million sought from Ecuador. Arbitrators ruled that certain fines imposed on DUnited Kingdome were unwarranted, and that DUnited Kingdome was not paid on time for some of its generation activities. But when legal fees are factored in, DUnited Kingdome may have been better off avoiding arbitration.",,TREATY
UNC179,2009,$509 million,509000000,TSA de Argentina S.A. v. Argentine Republic,TSA de Argentina S.A.,Netherlands,Argentina,King & Spalding,Attorney general of Argentina,"ICSID/Washington, D.C.","Hans Danelius, Grant Aldonas, Georges Abi-Saab",Hans Danelius,,Grant Aldonas,Georges Abi-Saab,"Rare ICSID victory for Argentina. An arbitral tribunal declined to hear a claim filed by a local argentine firm. Arbitrators were willing to pierce the company’s corporate veil in order to acknowledge its Dutch owner. However, further scrutiny revealed that a local Argentine company was the ultimate owner, thus disqualifying the Argentine company from suing its own government at ICSID.",,TREATY
UNC180,2009,$125 million,125000000,Compania General de Electricidad S.A. and CGE Argentina v. Argentine Republic,Compania General de Electricidad S.A. and CGE Argentina,Chile,Argentina,"Arnold & Porter; Guerrero, Olivos, Novoa y Errázuriz; general counsel, Compania General de Electricidad S.A.",Attorney general of Argentina,ICSID/Paris,"Pierre Tercier (president), Henri Alvarez, Georges Abi-Saab",Pierre Tercier,yes,Henri Alvarez,Georges Abi-Saab,"A BIT claim arising out of the Argentine financial crisis, involving concessions for electricity distribution in various Argentine provinces. Jurisdictional arguments were suspended in December 2008 while the parties discussed settlement.",,TREATY
UNC181,2009,Approximately $1 billion,1000000000,"Ioan Micula, S.C., European Food S.A., S.C. Starmill S.R.L., S.C. Multipack S.R.L., and Viorel Micula v. Romania","Ioan Micula, S.C., European Food S.A., S.C. Starmill S.R.L., S.C. Multipack S.R.L., and Viorel Micula",Sweden,Romania,King & Spalding; Musati Asociatii; formerly Schönherr; formerly Christoph Schreuer; formerly Dewey & LeBoeuf,Freshfields Bruckhaus Deringer,"ICSID/Washington, D.C.","Laurent Levy, Stanimir Alexandrov, Claus-Dieter Ehlermann",Laurent Levy,,Stanimir Alexandrov,Claus-Dieter Ehlermann,"The claimants, two individuals and three food and beverage companies, allege that Romania improperly withdrew certain state aids and tax benefits in disadvantaged areas of the country. Romania contends, among other things, that these steps were taken as part of the E.U.–accession process. In 2008, arbitrators dismissed jurisdictional objections raised by Romania and cleared the way for the claim to be heard under the Sweden–Romania BIT.",,TREATY
UNC182,2009,$300 million,300000000,Canadian Cattlemen for Fair Trade v. The United States of America,Canadian Cattlemen for Fair Trade,CCFT,USA,"Heenan Blaikie; Burnet, Duckworth & Palmer","Deputy legal adviser, USA Department of State; NAFTA Arbitration Division, USA Department of State of International Claims and Investment Disputes",ICSID Additional Facility (a separate set of rules for use when one party is not from an ICSID member-state),"Lucinda Low, James Bacchus, Karl-Heinz Böckstiegel",Lucinda Low,,James Bacchus,Karl-Heinz Böckstiegel,"In January 2008 arbitrators rejected a NAFTA claim brought against the USA government by various Canadian cattle producers. The claimants had turned to NAFTA arbitration, in an effort to challenge a temporary ban, arising out of a mad cow disease scare, on imports of Canadian live cattle into the United States. However, a unanimous tribunal declined to hear the case on the grounds that no cross-border investments had been made by the Canadian claimants.",,TREATY
UNC183,2009,$110 million,110000000,Ares International S.r.l. and Metal Geo S.r.l. v. Government of Georgia,Ares International S.r.l. and Metal Geo S.r.l.,Italy,Georgia,Bonelli Erede Pappalardo,DLA Piper,ICSID/London,"William Rowley, John Beechey, Emmanuel Gaillard",William Rowley,,John Beechey,Emmanuel Gaillard,"Results of steel privatization dispute remain under wraps. A pair of Italian investors sued Georgia for breach of the Italy–Georgia BIT. An ICSID tribunal issued a final award in February 2008, but few details have emerged.",,TREATY
UNC184,2009,Over $447 million,447000000,Daimler Financial Services AG v. The Argentine Republic,Daimler Financial Services AG,Germany,Argentina,Kelley Drye & Warren,Attorney general of Argentina,"ICSID/Washington, D.C.","Pierre-Marie Dupuy, Domingo Bello Janeiro, Charles Brower",Pierre-Marie Dupuy,,Domingo Bello Janeiro,Charles Brower,"This Argentine financial crisis claim could present certain jurisdictional challenges for the German claimant. In earlier cases, ICSID panels have disagreed sharply as to whether German claimants can invoke the so-called Most Favoured Nation Treatment clause of the Germany–Argentina treaty, so as to enjoy the fast-track arbitration provided in certain other investment treaties concluded by Argentina. Lawyers for Argentina insist that German investors must pursue claims in local courts for at least 18 months—as prescribed in the Germany–Argentina treaty—before qualifying for ICSID arbitration.",,TREATY
UNC185,2009,$280 million,280000000,RosInvestCo United Kingdom Ltd. v. The Russian Federation,RosInvestCo United Kingdom Ltd.,United Kingdom,Russia,Hughes Hubbard & Reed; Essex Court Chambers; Mannheimer Swartling,Cleary Gottlieb Steen & Hamilton,SCC/Stockholm,"Johan Steyn, Karl-Heinz Böckstiegel, Franklin Berman",Johan Steyn,,Karl-Heinz Böckstiegel,Franklin Berman,"In October 2007 arbitrators upheld jurisdiction over a claim against Russia by United Kingdom–based minority shareholders in the ill-fated Yukos Oil Company. At first glance, the claimants’ ability to claim compensation for an alleged expropriation appeared difficult under an arbitration-unfriendly investment treaty between Russia and the United Kingdom However, arbitrators allowed RosInvestCo to use that treaty’s MFN clause and to reach into other treaties signed by Russia in search of more generous arbitration terms.",,TREATY
UNC186,2009,$458 million,458000000,Telsim Mobil Telekomunikasyon Hizmetleri A.S. and Rumeli Telekom A.S. v. Kazakhstan,Telsim Mobil Telekomunikasyon Hizmetleri A.S. and Rumeli Telekom A.S.,Telsim,Kazakhstan,"Derains, Gharavi & Lazareff",Richards Butler; 3 Verulam Buildings,ICSID/Paris,"Bernard Hanotiau, Marc Lalonde, Stewart Boyd",Bernard Hanotiau,,Marc Lalonde,Stewart Boyd,"A pair of Turkish telecoms firms secured a large award against Kazakhstan, after an ICSID panel ruled that Kazakhstan had expropriated their stake in the local Kazakh telecoms venture KaR-Tel. Kazakhstan had protested that the claimants were essentially arms of the Turkish state after they had been taken over in a crackdown on the former owners, members of the controversial Uzan business empire. However, arbitrators upheld jurisdiction over the claim despite the evolving ownership of Telsim and Rumeli. The case is currently under annulment, a limited review process provided under ICSID rules in lieu of challenges in domestic courts.",,TREATY
UNC187,2009,$150 million,150000000,Walter Bau Aktiengesellschaft v. The Kingdom of Thailand,Walter Bau Aktiengesellschaft (in liquidation),Germany,Thailand,Lovells; University of Cambridge; Matrix Chambers,White & Case,"Ad hoc (UNCITRAL)/Seat: Geneva, Place of hearing: Montreal and Hong Kong","Sir Ian Barker, Marc Lalonde, Jayavadh Bunnag",Sir Ian Barker,,Marc Lalonde,Jayavadh Bunnag,"Thailand’s first investment treaty arbitration. Walter Bau seeks compensation for loss suffered in connection with its stake in the company that was awarded the contract to build and operate the Don Muang Tollway in Bangkok. Following an unpublished jurisdictional ruling, the case is at an advanced stage of the merits.",,TREATY
UNC189,2009,$265 million,265000000,Noble Energy Inc. and MachalaPower Cia. Ltda v. Ecuador,Noble Energy Inc. and MachalaPower Cia. Ltda,USA,Ecuador,King & Spalding,Attorney general of Argentina,"ICSID/Washington, D.C.","Gabrielle Kaufmann-Kohler, Henri Alvarez, Bernardo Cremades",Gabrielle Kaufmann-Kohler,,Henri Alvarez,Bernardo Cremades,"Noble complains that Ecuador has breached contracts providing for the sale of gas-generated electricity to state-owned power distribution companies. In turn the company argued that this led to breaches of the USA–Ecuador bilateral investment treaty. Among other things, Noble accused Ecuador of breaching so-called stabilization commitments that obliged the government to freeze the legal framework governing the investment. After a favorable jurisdictional decision for Noble, the two sides engaged in months of settlement talks, culminating in an agreement to terminate the claim and pay compensation to the USA investor.",,TREATY
UNC191,2009,$132.5 million,132000000,EDF Ltd v. Romania,EDF Ltd,Services,Romania,Wolf Theiss Rechtsanwalte GmbH,White & Case,"ICSID/Washington, D.C.","Piero Bernadini, Arthur Rovine, Yves Derains",Piero Bernadini,,Arthur Rovine,Yves Derains,"A dispute under the United Kingdom–Romania bilateral investment treaty, relating to airport duty-free and other retail concessions. The case involves allegations of bribery and corruption, as well as complex questions on the attribution of state responsibility to the actions of government-owned corporations. Post-hearing briefs were filed in February 2009; a decision on the merits is expected this year.",,TREATY
UNC193,2009,$300 million,300000000,I&I Beheer B.V. v. Venezuela,I&I Beheer B.V.,Netherlands,Venezuela,Freshfields Bruckhaus Deringer,Arnold & Porter; Foley Hoag,"ICSID/Washington, D.C.","Karl-Heinz Böckstiegel (president), Charles Brower, Pierre-Marie Dupuy",Karl-Heinz Böckstiegel,yes,Charles Brower,Pierre-Marie Dupuy,"Dutch company I&I Beheer B.V. brought a claim against Venezuela for alleged nonpayment of promissory notes said to have been issued by a Venezuelan state-owned bank, BANDAGRO. However, Venezuela insisted that the promissory notes were forgeries. After the claimants’ law firm withdrew, and an important pleading was not filed, the tribunal discontinued the case in December 2007.",,TREATY
UNC194,2009,$240 million,240000000,Desert Line Projects v. The Yemen,Desert Line Projects,Oman,Yemen,Salans,Eversheds,"ICSID/ Washington, D.C.","Pierre Tercier (president), Jan Paulsson, Ahmed El-Kosheri",Pierre Tercier,yes,Jan Paulsson,Ahmed El-Kosheri,"A unanimous ICSID panel held that Yemen breached the terms of an investment protection treaty in relation to its treatment of a Yemeni construction firm. Arbitrators ruled that the Yemeni firm was not paid for certain construction work, and then pressured by state officials into a “settlement” of the dispute on unfavorable terms. Unusually, arbitrators also awarded moral damages to the claimant as compensation for certain harassment and threats endured at the hands of the military and local citizens.",,TREATY
UNC196,2009,$318 million,318000000,Lesi S.p.a. and Astaldi S.p.a. v. People’s Democratic Algeria,Lesi S.p.a. and Astaldi S.p.a.,Italy,Algeria,Bonelli Erede Pappalardo,Chemloul & Associes; Falque & Associes,"ICSID/Washington, D.C.","Pierre Tercier (president), Bernard Hanotiau, Emmanuel Gaillard",Pierre Tercier,yes,Bernard Hanotiau,Emmanuel Gaillard,"A pair of Italian claimants alleged that Algeria breached the Italy–Algeria BIT by illegally terminating a contract for the construction of a large dam that was designed to supply water to the city of Algiers. However, in November 2008 arbitrators rejected all claims against Algeria. In their final award, the tribunal ruled that the civil unrest plaguing Algeria during the 1990s had been a national emergency, and that in these circumstances state authorities had acted reasonably and had not treated the foreign investors less favorably than domestic investors.",,TREATY
UNC197,2009,$668 million,668000000,Bayview Irrigation District and others v. The United Mexican States,Bayview Irrigation District and others,USA,Mexico,"Marzulla Law; Don Wallace, Jr.",Government counsel,ICSID,"Vaughan Lowe (president), Edwin Meese III, Ignacio Gómez-Palacio",Vaughan Lowe,yes,Edwin Meese III,Ignacio Gómez-Palacio,"NAFTA claim dries up. Farmers in Texas’s Rio Grande Valley, along with several water districts and a municipal water supply company, complained under NAFTA Chapter 11 that Mexico has expropriated their investment by diverting nearly a million acre-feet of water from the Rio Grande River for the use of Mexican farmers. In 2007 a panel of arbitrators ruled that the Texas claimants had not made any investments in Mexico—proving fatal to their claim under the NAFTA’s foreign investment protection chapter. The claimants turned to the courts in an effort to set aside the tribunal ruling, but a 2008 judgment in Canada (where the arbitration had been held) sided with the arbitrators.",,TREATY
UNC198,2009,Over $1.4 billion,1400000000,Mittal Steel Company N.V. and Mittal Steel Holdings N.V. v. Czech Republic,Mittal Steel Company N.V. and Mittal Steel Holdings N.V.,Netherlands,Czech Republic,Cleary Gottlieb Steen & Hamilton,Lovells,Ad hoc (UNCITRAL)/London,"Johan Steyn (chair), Piero Bernardini, Christopher Greenwood",Johan Steyn,yes,Piero Bernardini,Christopher Greenwood,"A BIT claim for discriminatory treatment in connection with the privatization of Vitkovice Steel, which Mittal sought and failed to acquire in 2005. The case settled in May 2009, with the Czech government agreeing to sell its 11 percent stake in ArcelorMittal’s Czech subsidiary to ArcelorMittal. At the same time, the investment treaty claim was discontinued.",,TREATY
UNC200,2009,$100 million,100000000,"African Holding Co. of America, Inc. and Societe Africaine de Construction au Congo S.A.R.L. (D.R.C.) v. The Democratic Congo","African Holding Co. of America, Inc. and Societe Africaine de Construction au Congo S.A.R.L.",USA,Democratic Congo,Debevoise & Plimpton,Cabinet Kikangala & Associes,"ICSID/ Washington, D.C.","Francisco Orrego Vicuña, Otto de Witt Wijnen, Dominique Grisay",Francisco Orrego Vicuña,,Otto de Witt Wijnen,Dominique Grisay,"In August 2008, a divided ICSID panel ruled that a USA company, African Holding Co. of America Inc., could not sue the Democratic Congo for nonpayment of certain construction debts. According to the majority, the dispute arose before the USA company acquired the debts in question, thus precluding jurisdiction under the USA treaty with the DRC.",,TREATY
UNC204,2009,$350 million,350000000,Ioannis Kardassopoulos v. Government of Georgia,Ioannis Kardassopoulos,Greece,Georgia,"Skadden, Arps, Slate, Meagher & Flom",DLA Piper,ICSID/London,"L. Yves Fortier, Vaughan Lowe, Francisco Orrego Vicuña",L. Yves Fortier,,Vaughan Lowe,Francisco Orrego Vicuña,"Kardassopoulous filed a $350 million claim under the Greece–Georgia BIT and the Energy Charter Treaty, alleging that the Georgian government improperly canceled a joint venture agreement and concession related to the Trans-Caucasus pipeline. The claimant complains that in 1996 Georgia granted another entity the exclusive right to export Caspian oil across Georgia. In July 2007 the tribunal upheld jurisdiction over the claim. Georgia denies breaching protections owed to the claimant.",,TREATY
UNC205,2009,Over $100 million,100000000,"Cargill, Inc. v. United Mexican States","Cargill, Inc.",USA,Mexico,Mayer Brown,Ministry of the Economy,"ICSID/Washington, D.C.","Michael Pryles, David Caron, Donald McRae",Michael Pryles,,David Caron,Donald McRae,One of three NAFTA arbitrations spawned by a controversial 20% Mexican tax on soft drink bottlers who use sweeteners other than cane sugar. Cargill complained that the tax harmed the company’s high fructose corn syrup plant in Mexico. The tax at issue has been found in a WTO proceeding to violate international trade rules. A ruling on the merits and damages is expected in 2009.,,TREATY
UNC207,2009,Over $200 million,200000000,Waguih Siag and Clorinda Vecci v. Arab Egypt,Waguih Siag and Clorinda Vecci,Italy,Egypt,King & Spalding,Baker & McKenzie,"ICSID/Washington, D.C., Paris","David Williams, Michael Pryles, Francisco Orrego Vicuña",David Williams,,Michael Pryles,Francisco Orrego Vicuña,"Claimants netted a $74.5 million award in May 2009 ($133 million including fees and pre-award interest), after a divided tribunal held that Egypt expropriated a seafront property contrary to protections owed in the Italy–Egypt bilateral investment treaty. Arbitrators divided sharply on allegations by Egypt of corruption on the part of one of the claimants. The dissenting arbitrator would have terminated Siag’s claim due to a finding of impropriety. For his part, Siag denied he had paid a bribe in order to acquire a foreign nationality. The majority of the tribunal sided with Siag in this regard.",,TREATY
UNC210,2009,$600 million,600000000,Bank of Nova Scotia v. Argentina,Bank of Nova Scotia,Canada,Argentina,"Freshfields Bruckhaus Deringer; McCarthy Tétrault; Cardenas, Di Cio, Romero & Tarsitano",Procurador del Tesoro de la Nacion,Ad hoc (UNCITRAL),"Alain Pellet, Charles Brower, presiding arbitrator not yet selected at press time",Alain Pellet,,Charles Brower,presiding arbitrator not yet selected at press time,This UNCITRAL arbitration is brought by Scotiabank pursuant to the bilateral investment treaty between Argentina and Canada. Claimant seeks compensation for measures allegedly taken by Argentina that breached the BIT. The case was suspended before an entire tribunal was constituted.,,TREATY
UNC211,2009,$1.1 billion,1100000000,"Empresa Electrica del Ecuador, Inc. v. Ecuador","Empresa Electrica del Ecuador, Inc.",EMELEC,Ecuador,Provost & Umphrey,Latham & Watkins; Cabezaz & Wray,"ICSID/Washington, D.C.","Bernardo Sepúlveda Amor (president), W. Michael Reisman, John Rooney",Bernardo Sepúlveda Amor,yes,W. Michael Reisman,John Rooney,"A private electrical utility, EMELEC alleges that the Ecuadorian military seized its electricity-generating facilities in Guayaqil in March 2000, after its former owner, Ecuadorian businessman Fernando Aspiazu, was charged with banking irregularities. EMELEC first invested in Ecuador in the 1920s, as part of a long-term electricity generation project for the city of Guayaquil. However, Ecuador claims that the company’s contract expired in 1985, and that EMELEC came into Ecuadorian hands in the early 1990s. Ecuador says there is no genuine USA investor in the matter capable of bringing a claim under the USA–Ecuador BIT. A jurisdictional ruling is expected some time in 2009.",,TREATY
UNC213,2009,Over $50 billion,50000000000,"Hulley Enterprises, Ltd., Yukos Universal Limited, and Veteran Petroleum Limited v. The Russian Federation","Hulley Enterprises, Ltd., Yukos Universal Limited, and Veteran Petroleum Limited",Cyprus,Russia,Shearman & Sterling,Cleary Gottlieb Steen & Hamilton,Ad hoc (UNCITRAL)/The Hague,"L. Yves Fortier (chair), Charles Poncet, Stephen Schwebel",L. Yves Fortier,yes,Charles Poncet,Stephen Schwebel,"Largest arbitration ever. The majority shareholders of Yukos Oil Company, affiliated with Group Menatep Ltd., argue that Russia expropriated Yukos assets by driving the company into bankruptcy through bogus tax claims, in a vendetta against founder Mikhail Khodorkovsky. Their cases were brought under the Energy Charter Treaty (ECT), a multilateral convention on trade and investment that is unratified by Russia, but contains a provisional application clause. Russia disputes that it is bound by the ECT and contests claimants’ standing. Although originally valued at $33 billion, the three claims are worth more than $50 billion based upon the valuation implied for the production unit that was Yukos’s main asset, Yuganskneftegas, when its current owner, Rosneft Oil Company, went public in 2006. Hearings on jurisdiction were held in November 2008.",,TREATY
UNC219,2009,$10 billion,10000000000,Libananco Holdings Co. Limited v. Turkey,Libananco Holdings Co. Limited,Cyprus,Turkey,Crowell & Moring; Lellos P. Demetriades Law Office,Freshfields Bruckhaus Deringer; Cosar AvUnited Kingdomatlik Burosu,"ICSID/Washington, D.C.","Michael Hwang, Franklin Berman, Henri Alvarez",Michael Hwang,,Franklin Berman,Henri Alvarez,"Libananco brings expropriation claims under the Energy Charter Treaty based on its majority stake in two utilities—once controlled by the controversial Uzan family—that operate 11 Turkish dams and power plants. Turkey seized the utilities, CUnited Kingdomurova Elektrik Anonim Sirketi (CEAS) and Kepez Elektrik Turk Anonim Sirketi, in 2003—for political reasons, according to the claimant; for financial reasons, according to the respondent. Turkey suspects Libananco of ties to the Uzans, and questions its status as a foreign investor. Arbitrators convened in May 2009 to hear several preliminary objections raised by Turkey.",,TREATY
