ID,Case Title,Case Number,InvestmentType,Date Registered,Arbitrator1,Arbitrator1President,President Nationality,Arbitrator2,Arbitrator2Claimant,Arbitrators 1 Nationality,Arbitrator3,Arbitrator3Respondent,Arbitrator 2 Nationality,Claimant Representative,Respondent Representative,Outcome Of Proceeding,ResolutionYear
UNC033,Marvin Roy Feldman Karpa v. United Mexican States,ARB(AF)/99/1,Foreign trade enterprise,1999-05-27,Konstantinos D. KERAMEUS,YES,Greek,Jorge COVARRUBIAS BRAVO,YES,Mexican,David A. GANTZ,YES,U.S.,"Marvin Roy Feldman Karpa, CEMSA, Mexico City, Mexico King of Feldman Law Offices, Washington, D.C., U.S.A. Law Firm of Miller, Cassidy, Larroca & Lewin, Washington, D.C., U.S.A.","Subsecretaría de Negociaciones Comerciales Internacionales, DirecciÃ³n General de ConsultorÃ­a JurÃ­dica de Negociaciones, Ministry of Economy, Mexico City, Mexico","Award rendered on December 16, 2002, attached to the award is a Dissenting Opinion by one of the arbitrators.",2002
UNC523,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others v. Republic of Cyprus",ARB/13/27,Banking enterprise,2013-09-27,Bernard HANOTIAU,YES,Belgian,Daniel M. PRICE,YES,U.S.,David A.O. EDWARD,YES,British,"Three Crowns, Paris, France Marfin Investment Group Holdings, Kifissia, Greece Tariq Baloch, London, U.K.","Skadden, Arps, Slate, Meagher & Flom, London, U.K. Chrysses Demetriades & Co., Limassol, Cyprus",,
UNC522,Karkey Karadeniz Elektrik Uretim A.S. v. Islamic Republic of Pakistan,ARB/13/1,Power generation equipment,2013-02-08,Yves DERAINS,YES,French,Horacio A. GRIGERA NAÓN,YES,Argentine,David A.O. EDWARD,YES,British,"Arnold & Porter, Washington, D.C., U.S.A. Hassan Kaunain Nafees, Islamabad, Pakistan","Allen & Overy, London, U.K.",,
UNC239,Occidental Petroleum Corporation and Occidental Exploration and Production Company v. Republic of Ecuador,ARB/06/11,Hydrocarbon concession,2006-07-13,L. Yves FORTIER,YES,Canadian,Brigitte STERN,YES,French,David A.R. WILLIAMS,YES,New Zealand,"Debevoise & Plimpton, New York, NY, U.S.A. Covington & Burling, London, U.K.","Procurador General del Estado, Quito, Ecuador Squire, Sanders & Dempsey, Cleveland, OH, U.S.A. Dechert, Paris, France","Award rendered on October 5, 2012, attached to the award is a dissenting opinion by one of the arbitrators.",2012
,Sudapet Company Limited v. Republic of South Sudan,ARB/12/26,Exploration and production of hydrocarbons,2012-08-29,Campbell Alan McLACHLAN,YES,New Zealand,Gavan GRIFFITH,YES,Australian,David A.R. WILLIAMS,YES,New Zealand,"S&A Law Firm (in association with SNR Denton), Ruwi, Sultanate of Oman	 Alexander Layton, London, U.K. Lucas Bastin, London, U.K.","Skadden, Arps, Slate, Meagher & Flom, London, U.K.",,
UNC337,"Mærsk Olie, Algeriet A/S v. People's Democratic Republic of Algeria",ARB/09/14,Exploration and production of liquid hydrocarbons,2009-07-29,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Kamal HOSSAIN,YES,Bangladeshi,David A.R. WILLIAMS,YES,New Zealand,"King & Spalding, Houston, TX, U.S.A.","Curtis, Mallet-Prevost, Colt & Mosle, New York, NY, U.S.A., Paris, France, Milan, Italy and Mexico City, Mexico Shearman & Sterling, Paris, France","The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) on September 30, 2013.",2013
UNC338,Deutsche Bank AG v. Democratic Socialist Republic of Sri Lanka,ARB/09/2,Hedging agreement,2009-03-24,Bernard HANOTIAU,YES,Belgian,Makhdoom Ali KHAN,YES,Pakistani,David A.R. WILLIAMS,YES,New Zealand,"Allen & Overy, Hong Kong, China Julius & Creasy, Colombo, Sri Lanka","Attorney General James Crawford, Clive Freedman, Ali Malek, and Simon Olleson, London, U.K.","Award rendered on October 31, 2012, attached to the award is a dissenting opinion by arbitrator Makhdoom Ali Khan.",2012
UNC379,"Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited v. Republic of Zimbabwe",ARB/10/25,Forestry and timber processing enterprises,2010-12-20,L. Yves FORTIER,YES,Canadian,Michael HWANG,YES,Singaporean,David A.R. WILLIAMS,YES,New Zealand,"Steptoe & Johnson, London, U.K. Wiley Rein, Washington, D.C., U.S.A.","Attorney General Kimbrough & Associés, Paris, France","Award rendered by the Tribunal on July 28, 2015.",2015
UNC378,Bernhard von Pezold and others v. Republic of Zimbabwe,ARB/10/15,Commercial farms,2010-07-08,L. Yves FORTIER,YES,Canadian,Michael HWANG,YES,Singaporean,David A.R. WILLIAMS,YES,New Zealand,"Steptoe & Johnson, London, U.K. Wiley Rein, Washington, D.C., U.S.A.","Attorney General Kimbrough & Associés, Paris, France","Award rendered by the Tribunal on July 28, 2015.",2015
UNC482,"Ping An Life Insurance Company of China, Limited and Ping An Insurance (Group) Company of China, Limited v. Kingdom of Belgium",ARB/12/29,Banking and financial services,2012-09-19,Lawrence COLLINS,YES,British,Philippe SANDS,YES,"British, French",David A.R. WILLIAMS,YES,New Zealand,"Kirkland & Ellis International, London, U.K. and Chicago, IL, U.S.A. Paul Key, London, U.K. James Crawford, London, U.K.","Monsieur le Vice Premier Ministre et Ministre des Finances, Kingdom of Belgium, Brussels, Belgium Service Public F&eacuted&eacuteral Finances, Administration G&eacuten&eacuterale de la Tr&eacutesorerie, Kingdom of Belgium, Brussels, Belgium Liedekerke WoltersWaelbroeckKirkpatrick, Brussels, Belgium","Award rendered by the Tribunal on April 30, 2015.",2015
UNC334,Gold Reserve Inc. v. Bolivarian Republic of Venezuela,ARB(AF)/09/1,Mining company,2009-11-09,Piero BERNARDINI,YES,Italian,Pierre-Marie DUPUY,YES,French,David A.R. WILLIAMS,YES,New Zealand,,,"Award rendered on September 22, 2014.",2014
UNC449,Nova Scotia Power Incorporated v. Bolivarian Republic of Venezuela,ARB(AF)/11/1,Coal supply agreement,2011-01-26,Hans VAN HOUTTE,YES,Belgian,Raúl E. VINUESA,YES,"Spanish, Argentine",David A.R. WILLIAMS,YES,New Zealand,"Torys, Toronto, Canada","Procuradora General de la República, Caracas, Venezuela Foley Hoag, Washington, D.C., U.S.A.","Award rendered on April 30, 2014.",2014
,RSM Production Corporation v. Grenada,ARB/05/14,Oil exploration contract,2005-08-05,V.V. VEEDER,YES,British,Bernard AUDIT,YES,French,David BERRY,YES,"U.S., Canadian","President & CEO, RSM Production Corporation, Denver, CO, U.S.A.","Language(s) of Proceeding;English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on March 13, 2009.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Claimant(s);Respondent(s) on Annulment;Date Registered;July 10, 2009 (Claimant(s));Date of Constitution of ad hoc Committee;August 17, 2009;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Gavan GRIFFITH (Australian);Members;Cecil W.M. ABRAHAM (Malaysian) Campbell Alan McLACHLAN (New Zealand);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): President & CEO, RSM Production Corporation, Denver, CO, U.S.A.","Award rendered on March 13, 2009.",2009
,Maritime International Nominees Establishment v. Republic of Guinea,ARB/84/4,Bauxite transportation joint venture,1984-09-18,Donald E. ZUBROD,YES,U.S.,Jack BERG,YES,U.S.,David K. SHARPE,YES,U.S.,"Kaplan Russin & Vecchi, Washington, D.C., U.S.A.","Cadwalader, Wickersham & Taft, Washington, D.C., U.S.A.","Award rendered on January 6, 1988.",1988
UNC055,Mihaly International Corporation v. Democratic Socialist Republic of Sri Lanka,ARB/00/2,Power project,2000-01-11,Sompong SUCHARITKUL,YES,Thai,Andrew ROGERS,YES,Australian,David SURATGAR,YES,British,"Burnet, Duckworth & Palmer, Calgary, Alberta, Canada","Morgan, Lewis & Bockius, New York, NY, U.S.A.","Award rendered on March 15, 2002, attached to the award is a Concurring Opinion by one of the arbitrators.",2002
UNC077,Siemens A.G. v. Argentine Republic,ARB/02/8,Informatic services contract,2002-07-17,Andrés RIGO SUREDA,YES,Spanish,Charles N. BROWER,YES,U.S.,Domingo BELLO JANEIRO,YES,Spanish,"M. & M. Bomchil, Buenos Aires, Argentina Peter Gnam, Feldafing, Germany","Language(s) of Proceeding;Spanish, English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on February 6, 2007.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;July 16, 2007 (Respondent(s));Date of Constitution of ad hoc Committee;October 4, 2007;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Gilbert GUILLAUME (French);Members;Florentino P. FELICIANO (Philippine) Mohamed SHAHABUDDEEN (Guyanese);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): M. & M. Bomchil, Buenos Aires, Argentina Peter Gnam, Feldafing, Germany","Award rendered on February 6, 2007.",2007
UNC184,Daimler Financial Services AG v. Argentine Republic,ARB/05/1,Leasing and financial services,2005-01-14,Pierre-Marie DUPUY,YES,French,Charles N. BROWER,YES,U.S.,Domingo BELLO JANEIRO,YES,Spanish,"Kelly Drye & Warren, New York, NY, U.S.A.","Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina","The Tribunal renders its award, attached to the award is a dissenting opinion by arbitrator Charles N. Brower and a separate opinion by arbitrator Domingo Bello Janeiro.",
UNC084,AES Corporation v. Argentine Republic,ARB/02/17,Electricity generation and distribution operations,2002-12-19,Pierre-Marie DUPUY,YES,French,Karl-Heinz BÖCKSTIEGEL,YES,German,Domingo BELLO JANEIRO,YES,Spanish,"General Counsel, AES Corparation North America, Arlington, VA, U.S.A. Chaffetz Lindsey, New York, NY, U.S.A.","Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina",,
UNC200,"African Holding Company of America, Inc. and Société Africaine de Construction au Congo S.A.R.L. v. Democratic Republic of the Congo",ARB/05/21,Construction contracts,2005-10-27,Francisco ORREGO VICUÑA,YES,Chilean,Otto L.O. DE WITT WIJNEN,YES,Dutch,Dominique GRISAY,YES,Belgian,"Debevoise & Plimpton, New York, NY, U.S.A., and Paris, France Law Office of David A. Saltman, Ponte Vedra, FL, U.S.A.","Ministre de la Justice et Garde des Sceaux, Kinshasa, Democratic Republic of the Congo Cabinet Kikangala & Associés, Brussels, Belgium","Award rendered on July 29, 2008, attached to the award is a dissenting opinion by one of the arbitrators.",2008
,Adriano Gardella S.p.A. v. C&ocircte d'Ivoire,ARB/74/1,Production of fibers and textiles,1974-03-06,Pierre CAVIN,YES,Swiss,Jacques Michel GROSSEN,YES,Swiss,Dominique PONCET,YES,Swiss,"Lalive et Budin avocats, Paris, France",Théodore Klein,"Award rendered on August 29, 1977.",1977
,Klöckner Industrie-Anlagen GmbH and others v. United Republic of Cameroon and Soci&eacuteté Camerounaise des Engrais,ARB/81/2,Construction and operation of a fertilizer factory,1981-04-14,Eduardo JIMENEZ DE ARECHAGA,YES,Uruguayan,William D. ROGERS,YES,U.S.,Dominique SCHMIDT,YES,French,"Gide, Loyrette and Nouel, Paris, France","Coudert Brothers, Paris, France Le Ministre du developpement industriel et commercial, le Ministre des finance, Yaoundé, Cameroon","Award rendered on October 21, 1983, attached to the Award is a Dissenting Opinion by arbitrator Dominique Schmidt.",1983
UNC029,Wena Hotels Limited v. Arab Republic of Egypt,ARB/98/4,Hotel lease and development agreements,1998-07-31,Monroe LEIGH,YES,U.S.,Ibrahim FADLALLAH,YES,"French, Lebanese",Don WALLACE Jr.,YES,U.S.,"Shearman & Sterling, Paris, France","Egyptian State Lawsuits Authority, Cairo, Egypt Freshfields Bruckhaus Deringer, Paris, France","Award rendered on December 8, 2000.",2000
UNC042,Middle East Cement Shipping and Handling Co. S.A. v. Arab Republic of Egypt,ARB/99/6,Cement distribution enterprise,1999-11-19,Karl-Heinz BÖCKSTIEGEL,YES,German,Piero BERNARDINI,YES,Italian,Don WALLACE Jr.,YES,U.S.,"Middle East Cement Shipping and Handling Co. S.A., Managing Director, Athens, Greece Sarwat A. El-Shahid and Ashraf Yehia, Cairo, Egypt","Egyptian State Lawsuits Authority, Cairo, Egypt Aktham El Kholy, Attorney at Law, Legal Adviser, Dokki, Guiza, Egypt","Award rendered on April 12, 2002.",2002
UNC115,Azurix Corp. v. Argentine Republic,ARB/03/30,Water and sewer services concession agreement,2003-12-08,Gustaf MÖLLER,YES,Finnish,Bernard HANOTIAU,YES,Belgian,Donald M. McRAE,YES,"Canadian, New Zealand","King & Spalding, Houston, TX, U.S.A.","Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina","The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d) on June 18, 2012.",2012
UNC205,"Cargill, Incorporated v. United Mexican States",ARB(AF)/05/2,Soft drink sweetener production enterprise,2005-08-30,Michael C. PRYLES,YES,Australian,David D. CARON,YES,U.S.,Donald M. McRAE,YES,"Canadian, New Zealand","Mayer Brown, Chicago, IL, and Washington, D.C., U.S.A.","Dirección General de Consultoría Jurídica de Negociaciones, Secretaría de Economía, Mexico City, Mexico Thomas & Partners, Vancouver, Canada Pillsbury Winthrop Shaw Pittman, Washington, D.C., U.S.A.","Award rendered on September 18, 2009.",2009
,PNG Sustainable Development Program Ltd. v. Independent State of Papua New Guinea,ARB/13/33,Gold and copper mining project,2013-12-20,Gary B. BORN,YES,U.S.,Michael C. PRYLES,YES,Australian,Duncan KERR,YES,Australian,"Clifford Chance, Singapore, Singapore, London, U.K., Hong Kong, and Perth, Australia","Independent State of Papua New Guinea WongPartnership, Singapore","Award rendered by the Tribunal on May 5, 2015.",2015
,S.A.R.L. Benvenuti & Bonfant v. People's Republic of the Congo,ARB/77/2,Manufacture of plastic bottles,1977-12-15,Jørgen TROLLE,YES,Danish,Rudolf BYSTRICKY,YES,Czechoslovak,Edilbert RAZAFINDRALAMBO,YES,Malagasy,"Corrado Bonfant, A. Sinagra","Sika, Mabouana, L. Zubabela and R. Martin","Award rendered on August 8, 1980.",1980
UNC158,"Talsud, S.A. v. United Mexican States",ARB(AF)/04/4,Concession agreement to operate the National Registry of Motor Vehicles,2004-09-29,V.V. VEEDER,YES,British,L. Yves FORTIER,YES,Canadian,Eduardo MAGALLÓN GÓMEZ,YES,Mexican,"Baker & Mackenzie, London, U.K. Philippe Sands, London, U.K.","Secretaría de Economía, Mexico City, Mexico Thomas & Partners, Vancouver, Canada Pillsbury Winthrop Shaw Pittman, Washington, D.C., U.S.A.","Award rendered on June 16, 2010.",2010
UNC157,"Gemplus, S.A., SLP, S.A. and Gemplus Industrial, S.A. de C.V. v. United Mexican States",ARB(AF)/04/3,Concession agreement to operate the National Registry of Motor Vehicles,2004-09-29,V.V. VEEDER,YES,British,L. Yves FORTIER,YES,Canadian,Eduardo MAGALLÓN GÓMEZ,YES,Mexican,"Baker & Mackenzie, London, U.K. Philippe Sands, London, U.K.","Secretaría de Economía, Mexico City, Mexico Thomas & Partners, Vancouver, Canada Pillsbury Winthrop Shaw Pittman, Washington, D.C., U.S.A.","Award rendered on June 16, 2010.",2010
UNC484,Supervision y Control S.A. v. Republic of Costa Rica,ARB/12/4,Concession agreement to build and operate motor vehicle inspection facilities,2012-02-09,Claus VON WOBESER,YES,Mexican,Joseph P. KLOCK Jr,YES,U.S.,Eduardo SILVA ROMERO,YES,"Colombian, French","Fowler, Rodriguez, Valdes Fauli, Houston, TX, U.S.A.","Ministry of Foreign Trade, San Jose, Costa Rica Arnold & Porter, Washington, D.C., U.S.A. Volterra Fietta, London, U.K.",,
UNC390,David Minnotte and Robert Lewis v. Republic of Poland,ARB(AF)/10/1,Blood treatment and processing facilities,2010-09-14,Vaughan LOWE,YES,British,Maurice MENDELSON,YES,British,Eduardo SILVA ROMERO,YES,"Colombian, French","Colson Hicks Eidson, Washington, D.C., U.S.A. Greenberg Traurig, Washington, D.C., U.S.A.","K&L Gates Jamka Sp.K., Warsaw, Poland State Treasury Solicitors","Award rendered on May 16, 2014.",2014
UNC168,"Archer Daniels Midland Company and Tate & Lyle Ingredients Americas, Inc. v. United Mexican States",ARB(AF)/04/5,Soft drink sweetener production enterprise,2004-09-29,Bernardo M. CREMADES,YES,Spanish,Arthur W. ROVINE,YES,U.S.,Eduardo SIQUEIROS T,YES,Mexican,,,"Award rendered on November 21, 2007, attached to the Award is a concurring opinion by one of the arbitrators. Correction of the award rendered by the Tribunal on January 8, 2008 pursuant to Article 56 of the ICSID Additional Facility Arbitration Rules.",2007
UNC127,Telefónica S.A v. Argentine Republic,ARB/03/20,Telecommunications enterprise,2003-07-21,Giorgio SACERDOTI,YES,Italian,Charles N. BROWER,YES,U.S.,Eduardo SIQUEIROS T,YES,Mexican,"M. & M. Bomchil Abogados, Buenos Aires, Argentina","Procurador del Tesoro de la Nación, Buenos Aires, Argentina","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on September 24, 2009 pursuant to ICSID Arbitration Rule 43(1)).",2009
UNC353,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States",ARB(AF)/09/2,Waste disposal enterprise,2009-12-11,Alexis MOURRE,YES,French,Juan FERNÁNDEZ-ARMESTO,YES,Spanish,Eduardo SIQUEIROS T,YES,Mexican,"Solorzano, Carvajal, Gonzalez y Perez Correa, Mexico City, Mexico","Consultor&iacutea Jur&iacutedica de Negociaciones Secretar&iacutea de Econom&iacutea, Mexico City, Mexico","Award rendered on April 18, 2013.",2013
UNC054,"Waste Management, Inc. v. United Mexican States",ARB(AF)/00/3,Waste disposal enterprise,1998-11-18,Bernardo M. CREMADES,YES,Spanish,Keith HIGHET,YES,U.S.,Eduardo SIQUEIROS T,YES,Mexican,"Baker & Botts, Washington, D.C., U.S.A.","Dirección General de Consultoría Jurídica de Negociaciones, Subsecretaría de Negociaciones Comerciales Internacionales, Secretaría de Comercio y Fomento Industrial (SECOFI), Mexico City, Mexico","Award rendered on June 2, 2000, attached to the award is a dissenting opinion by one of the arbitrators.",2000
,"Scimitar Exploration Limited v. Bangladesh and Bangladesh Oil, Gas and Mineral Corporation",ARB/92/2,Oil exploration and development,1992-11-03,Keith HIGHET,YES,U.S.,Ian BROWNLIE,YES,British,Edward C. CHIASSON,YES,Canadian,"Biddle & Co., London, U.K.","Minister of Power, Energy & Mineral Resources, Dhaka, Bangladesh Badrul H. Chowdury and Kamal Hossain","Award declining jurisdiction over the dispute rendered on May 4, 1994.",1994
,Interocean Oil Development Company and Interocean Oil Exploration Company v. Federal Republic of Nigeria,ARB/13/20,Oil exploration and production joint venture,2013-09-09,William W. PARK,YES,"Swiss, U.S.",Julian D.M. LEW,YES,British,Edward TORGBOR,YES,"British, Ghanaian","Bello Salihu, Lagos, Nigeria Oba Nsugbe, London, U.K. Addie & Co, London, U.K.","Aare Afe Babalola, Lagos, Nigeria Volterra Fietta, London, U.K. Rose Rameau, Accra, Ghana",,
,Amco Asia Corporation and others v. Republic of Indonesia,ARB/81/1,Construction and operation of a hotel,1981-02-27,Berthold GOLDMAN,YES,French,Isi FOIGHEL,YES,Danish,Edward W. RUBIN,YES,Canadian,"Friedland of Coudert Brothers, New York, NY, U.S.A.","White & Case, Washington, D.C., U.S.A.","Award rendered on November 20, 1984.",1984
UNC106,Consortium Groupement L.E.S.I. - DIPENTA v. People's Democratic Republic of Algeria,ARB/03/8,Construction of a dam,2003-05-20,Pierre TERCIER,YES,Swiss,André J.E. FAURÈS,YES,Belgian,Emmanuel GAILLARD,YES,French,"Bonelli Erede Pappalardo, Milan, Italy","Ministry of Water Resources, Cairo, Egypt Mohammed Chemloul, Algiers, Algeria Ahmed Laraba, Algiers, Algeria","Award rendered on January 10, 2005.",2005
UNC226,Rail World LLC and others v. Republic of Estonia,ARB/06/6,Railroad enterprise,2006-04-05,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Karl-Heinz BÖCKSTIEGEL,YES,German,Emmanuel GAILLARD,YES,French,"Covington & Burling, Washington, D.C., U.S.A.","Minister of Economic Affairs and Communications, Tallinn, Estonia Advokaadibüroo LEXTAL Law Firm, Tallinn, Estonia","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on February 5, 2007 pursuant to Arbitration Rule 43(1)).",2007
UNC022,Victor Pey Casado and President Allende Foundation v. Republic of Chile,ARB/98/2,Publishing enterprise,1998-04-20,Pierre LALIVE,YES,Swiss,Mohammed CHEMLOUL,YES,Algerian,Emmanuel GAILLARD,YES,French,"Juan E. Garcés, Madrid, Spain	 Gide, Loyrette, Nouel, Paris, France Ropes & Grey, Washington, D.C., U.S.A.","Jefe de la División Jurídica, Ministerio de Economía, Fomento y Reconstrucción and Programa de Defensa en Arbitrajes de Inversión Extranjera, Santagio, Chile Carey & Cía, Santiago, Chile Arnold & Porter, Washington, D.C., U.S.A.","Award rendered on May 8, 2008.",2008
UNC309,Karmer Marble Tourism Construction Industry and Commerce Limited Liability Company v. Georgia,ARB/08/19,Highway construction project,2008-12-31,Marc LALONDE,YES,Canadian,Francisco ORREGO VICUÑA,YES,Chilean,Eric SCHWARTZ,YES,"U.S., French","Volterra Fietta, London, U.K. Latham & Watkins, London, U.K. and Hamburg, Germany Akinci Law Office, Istanbul, Turkey","White & Case, Paris, France and New York, NY, U.S.A.","The Tribunal renders its award on August 9, 2012.",2012
UNC265,Toto Costruzioni Generali S.p.A. v. Republic of Lebanon,ARB/07/12,Highway construction contract,2007-07-03,Hans VAN HOUTTE,YES,Belgian,Stephen M. SCHWEBEL,YES,U.S.,Fadi MOGHAIZEL,YES,Lebanese,"Hatem, Kairouz, Messihi and Co. Law Firm, Beirut, Lebanon","Language(s) of Proceeding;English;Status of Proceeding;Concluded;Outcome of Proceeding;The Tribunal renders its Award on June 7, 2012, attached to the Award is a Concurring Opinion of one of the Arbitrators.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Claimant(s);Respondent(s) on Annulment;Date Registered;October 18, 2012 (Claimant(s));Date of Constitution of ad hoc Committee;November 8, 2012;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Emmanuel GAILLARD (French);Members;Michael C. PRYLES (Australian) Andrés RIGO SUREDA (Spanish);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Hatem, Kairouz, Messihi and Co. Law Firm, Beirut, Lebanon","The Tribunal renders its Award on June 7, 2012, attached to the Award is a Concurring Opinion of one of the Arbitrators.",2012
,"Chevron Bangladesh Block Twelve, Ltd. and Chevron Bangladesh Blocks Thirteen and Fourteen, Ltd. v. People's Republic of Bangladesh",ARB/06/10,"Exploration, development, and production of natural gas",2006-06-30,Thomas BUERGENTHAL,YES,U.S.,John BEECHEY,YES,British,Fali S. NARIMAN,YES,Indian,"King & Spalding, Houston TX, and Washington, D.C., U.S.A. Senior Counsel, Chevron Global Upstream and Gas Law, Chevron U.S.A. Inc., San Ramon, CA, U.S.A.","Kamal Hossain and Associates, Dhaka, Bangladesh Toby Landau, London, U.K. Mahmudul Islam, Dhaka, Bangladesh","Award rendered on May 17, 2010",2010
UNC105,Electricidad Argentina S.A. and EDF International S.A. v. Argentine Republic,ARB/03/22,Electricity distribution enterprise,2003-08-12,William W. PARK,YES,"Swiss, U.S.",Gabrielle KAUFMANN-KOHLER,YES,Swiss,Fernando DE TRAZEGNIES GRANDA,YES,Peruvian,Clifford Chance Europe,"Procuradora del Tesoro de la Nación, Buenos Aires, Argentina",,
UNC145,Interbrew Central European Holding B.V. v. Republic of Slovenia,ARB/04/17,Brewery,2004-08-25,Francisco ORREGO VICUÑA,YES,Chilean,Charles N. BROWER,YES,U.S.,Florentino P. FELICIANO,YES,Philippine,"Shearman & Sterling, Paris, France","Cleary, Gotlieb, Steen & Hamilton, Paris, France","Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal pursuant to ICSID Arbitration Rule 44 on July 18, 2005).",2005
UNC413,Koch Minerals S&agraverl and Koch Nitrogen International S&agraverl v. Bolivarian Republic of Venezuela,ARB/11/19,Construction and operation of fertilizer plant,2011-07-19,V.V. VEEDER,YES,British,Marc LALONDE,YES,Canadian,Florentino P. FELICIANO,YES,Philippine,"Volterra Fietta, London, U.K. Chadbourne & Parke, New York, NY, U.S.A.","Procuraduría General de la República, Caracas, Venezuela Shearman & Sterling, Washington, D.C., U.S.A. and Paris, France",,
UNC343,"EVN AG v. Macedonia, former Yugoslav Republic of",ARB/09/10,Electricity distribution,2009-06-03,Piero BERNARDINI,YES,Italian,Vaughan LOWE,YES,British,Francisco ORREGO VICUÑA,YES,Chilean,"Freshfields Bruckhaus Deringer, Vienna, Austria, Paris, France, and London, U.K. Konrad & Justich, Vienna, Austria Polenak Law Firm, Skopje, Macedonia","Latham & Watkins, London, U.K., Washington, D.C., U.S.A., and Hamburg, Germany","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on September 2, 2011, pursuant to ICSID Arbitration Rule 43(2)).",2011
,"GRAD Associates, P.A. v. Bolivarian Republic of Venezuela",ARB/00/3,Contract for the construction and modernization of penitentiaries,2000-03-01,Francisco ORREGO VICUÑA,YES,Chilean,Andreas J. JACOVIDES,YES,Cypriot,Francisco REZEK,YES,Brazilian,"Connell Foley, Roseland, NJ, U.S.A.","Ministro de la Producción y del Comercio, Ministerio de la Producción y del Comercio, Caracas, Venezuela","Proceeding discontinued for lack of payment of advances pursuant to Regulation 14(3)(d) of the Administrative and Financial Regulations (Order for the discontinuance of the proceeding issued by the Tribunal on February 5, 2002).",2002
UNC025,Eudoro A. Olguín v. Republic of Paraguay,ARB/98/5,Food products enterprise,1998-08-26,Rodrigo OREAMUNO,YES,Costa Rican,Eduardo A. MAYORA,YES,Guatemalan,Francisco REZEK,YES,Brazilian,"García Calderón-Ghersi-Cateriano, Abogados, Lima, Peru","Produrador General de la República del Paraguay, Assunción, Paraguay","Award rendered on July 26, 2001.",2001
UNC068,CMS Gas Transmission Company v. Argentine Republic,ARB/01/8,Gas transmission enterprise,2001-08-24,Francisco ORREGO VICUÑA,YES,Chilean,Marc LALONDE,YES,Canadian,Francisco REZEK,YES,Brazilian,"Freshfields Bruckhaus Deringer, New York, NY, U.S.A. Freshfields Bruckhaus Deringer, Paris, France M&M Bomchil Abogados, Buenos Aires, Argentina","Procurador del Tesoro de la Nación, Buenos Aires, Argentina","Award rendered on May 12, 2005.",2005
,Société des Mines de Loulo S.A. v. Republic of Mali,ARB/13/16,Gold exploration and exploitation project,2013-07-18,Eric TEYNIER,YES,French,Charles PONCET,YES,Swiss,François SUREAU,YES,French,"Orrick Rambaud Martel, Paris, France","Direction Générale du Contentieux de l'Etat, Bamako, Mali Klein Goddard Associés, Paris, France",,
UNC219,Libananco Holdings Co. Limited v. Republic of Turkey,ARB/06/8,Electricity generation and distribution concessions,2006-04-19,Michael HWANG,YES,Singaporean,Henri C. ÁLVAREZ,YES,Canadian,Franklin BERMAN,YES,British,"Crowell & Moring, Washington, D.C., U.S.A. Lellos P. Demetriades Law Office, Nicosia, Cyprus","Freshfields Bruckhaus Deringer, New York, NY, U.S.A. and Paris, France CoÅar Avukatlik B&uumlrosu, Istanbul, Turkey","Award rendered on September 2, 2011.",2011
,RSM Production Company v. Republic of Cameroon,ARB/13/14,Hydrocarbons exploration and exploitation concession agreement,2013-07-01,Raed FATHALLAH,YES,"Canadian, Lebanese",Stephen JAGUSCH,YES,New Zealand,Frédérique CHIFFLOT BOURGEOIS,YES,French,"Mishcon de Reya, London, U.K.","Société Nationale des Hydrocarbures, Yaoundé, Cameroon Gill Dingomé, Paris, France",,
