ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrato3,description,SOURCE,TYPE
UNC301,2011,$2.4 billion,2400000000,OAO Tatneft v. United Kingdom,OAO Tatneft,Russia,United Kingdom,Cleary Gottlieb Steen & Hamilton,Grischenko & Partners;Dewey & LeBoeuf;King & Spalding,Ad hoc (UNCITRAL),Francisco Orrego Vicuña; Charles Brower; Marc Lalonde,Francisco Orrego Vicuña,Charles Brower,Marc Lalonde,"Tatneft complains that United Kingdom failed to act to counter a former manager’s forcible takeover of the Kremenchug oil refinery, United Kingdom’s largest, in October 2007. Tatneft, a Russian company, was a shareholder in the United Kingdomrainian company that owns the refinery, United Kingdomrtatnafta. Tatneft also complains that its direct and indirect shareholding in United Kingdomrtatnafta have been taken by illegal United Kingdomrainian court decisions. On that basis, Tatneft alleges breaches of the United Kingdom-Russia BIT, which United Kingdom denies. The arbitrators asserted jurisdiction in late 2010.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC298,2011,$2 billion,2000000000,Caratube International Oil Company LLP v. Kazakhstan,Caratube International Oil Company LLP,USA,Kazakhstan,Crowell & Moring,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Gavan Griffith; Kamal Hossain; Karl-Heinz Böckstiegel,Gavan Griffith,Kamal Hossain,Karl-Heinz Böckstiegel,Caratube claims that Kazakhstan expropriated its long-term contract to explore and develop hydrocarbons in the Aktobe region of the country. Kazakhstan contests the claim. In August 2010 a federal court in the District of Columbia declined Caratube’s motion for discovery in aid of arbitration under 28 USAC. section 1782. In February 2011 hearings on the merits were held.,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC297,2011,$200 million,200000000,Impregilo SpA v. Argentine Republic,Impregilo SpA,Italy,Argentina,King & Spalding,Attorney General of Argentina,ICSID,Hans Danelius; Charles Brower; Kamal Hossain,Hans Danelius,Charles Brower,Kamal Hossain,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC296,2011,$120 million,120000000,AEI Luxembourg Holdings S.ar.L v. Plurinational State of Bolivia,AEI Luxembourg Holdings S.ar.L,Luxembourg,Bolivia,King & Spalding,Foley Hoag,SCC,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC291,2011,$600 million,600000000,Millicom International Operations B.V. and Sentel GSM S.A. v. The Senegal,Millicom International Operations B.V.,Netherlands,Senegal,Allen & Overy,Clifford Chance;Hogan Lovells,ICSID,Pierre Tercier; Ronny Abraham; Kaj Hobér,Pierre Tercier,Ronny Abraham,Kaj Hobér,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC290,2011,Up to $1.6 billion,1600000000,Cemex Caracas Investments B.V. and Cemex Caracas II Investments B.V. v. Venezuela,Cemex Caracas Investments B.V.,Netherlands,Venezuela,"Skadden, Arps, Slate, Meagher & Flom","Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Gilbert Guillaume; Robert von Mehren; Georges Abi-Saab,Gilbert Guillaume,Robert von Mehren,Georges Abi-Saab,"A pair of Dutch subsidiaries of Mexican cement juggernaut Cemex are claiming losses arising out of Venezuela’s nationalization of that country’s largest privately owned cement business. In December 2010 arbitrators confirmed that Venezuela’s denunciation of Netherlands–Venezuela BIT came too late to short-circuit the claimants’ claims. However, arbitrators declined jurisdiction over claims brought under Venezuela’s ambiguously worded investment law","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC289,2011,$600 million,600000000,Turkcell Iletisim Hizmetleri A.S. v. Islamic Iran,Turkcell Iletisim Hizmetleri A.S.,Turkey,Iran,Yüksel Yüksel Karkin Küçük;DLA Piper United Kingdom,"Eversheds;Centre of International Legal Affairs, Islamic Iran",Permanent Court of Arbitration (Ad hoc/UNCITRAL),Neil Kaplan; Mir Hossein Abedian Kalkhoran; Charles Brower,Neil Kaplan,Mir Hossein Abedian Kalkhoran,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC285,2011,$1.5 billion,1500000000,Giovanna a Beccara et al. v. Argentine Republic,Giovanna a Beccara et al.,Italy,Argentina,"Freshfields Bruckhaus Deringer;Grimaldi e Associati;White & Case;Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr",Attorney General of Argentina;Cleary Gottlieb Steen & Hamilton,ICSID,Pierre Tercier; Robert Briner; Albert Jan van den Berg; Georges Abi-Saab,Pierre Tercier,Robert Briner,Albert Jan van den Berg,"A claim by Italian bondholders who declined to accept settlements offered by Argentina in the aftermath of its sovereign debt default. Originally, more than 180,000 investors, holding bonds with a face amount of about $4.5 billion, alleged unfair and discriminatory treatment and expropriation under the Italy–Argentina investment treaty. A new settlement offer by Argentina in 2010 peeled away two-thirds of the claimants, but the case still involves over 60,000 bondholders, holding bonds with a face amount of about $1.5 billion. The largest arbitration to arise out of Argentina’s crisis, the case is novel in using treaty arbitration to pursue a mass claim, and to challenge a sovereign debt restructuring. Argentina contests the aggregation of claims and denies that it is liable under the treaty. In April 2010 the tribunal concluded the hearing on jurisdiction after seven days of argument and testimony. If the bondholders lose on jurisdiction, they may resume their stayed New York litigation—but enforcing any USA court judgment might be tricky.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC283,2011,$118.9 million,118000000,Hochtief AG v. The Argentine Republic,Hochtief AG,Germany,Argentina,Hogan Lovells;Kelley Drye & Warren,Attorney General of Argentina,ICSID,Vaughan Lowe; J. Christopher Thomas; Charles Brower,Vaughan Lowe,J. Christopher Thomas,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC281,2011,$260 million,260000000,Invesmart BV v. Czech Republic,Invesmart BV,Netherlands,Czech Republic,King & Spalding,"Weil, Gotshal & Manges;Matrix Chambers",Ad hoc (UNCITRAL),J. Christopher Thomas; Michael Pryles,J. Christopher Thomas,Michael Pryles,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC280,2011,$200 million,200000000,AES Summit Generation Limited and AES-Tisza Eromu Kft. v. Hungary,AES Summit Generation Limited,Hungary,Hungary,Allen & Overy,Arnold & Porter; Law Offices of Dr. János Katona,ICSID,Claus von Wobeser; J. William Rowley; Brigitte Stern,Claus von Wobeser,J. William Rowley,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC279,2011,$700 million,700000000,Electrabel S.A. v. Hungary,Electrabel S.A.,Belgium,Hungary,Faludi Wolf Theiss; Clifford Chance,Arnold & Porter,ICSID,V. V. Veeder; Brigitte Stern; Gabrielle Kaufmann-Kohler,V. V. Veeder,Brigitte Stern,Gabrielle Kaufmann-Kohler,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC278,2011,$183 million,183000000,S&T Oil Equipment and Machinery Ltd v. Romania,S&T Oil Equipment and Machinery Ltd,USA,Romania,King & Spalding,White & Case,ICSID,Hans Van Houtte; Horacio Grigera Naon; Brigitte Stern,Hans Van Houtte,Horacio Grigera Naon,Brigitte Stern,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC277,2011,$1 billion,1000000000,"Sergei Paushok, CJSC Golden East Company, and CJSC Vostokneftegaz Company v. Government of Mongolia",Sergei Paushok,Russia,Mongolia,"Squire, Sanders & Dempsey","Milbank, Tweed, Hadley & McCloy",Ad hoc (UNCITRAL),Marc Lalonde; Horacio Grigera-Naon; Brigitte Stern,Marc Lalonde,Horacio Grigera-Naon,Brigitte Stern,"In 2006 Mongolia passed a windfall profits tax on gold sales above $500 per ounce. Russian miners now challenge the tax under the Mongolia–Russia BIT. In April 2010 the tribunal dismissed the main claim, and agreed with Mongolia that the claimants’ choice not to obtain a stability pact deprived them of the legitimate expectation that no windfall profits tax would be imposed in the future","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC275,2011,$110 million,110000000,Adria Beteiligungs Gmbh v. The Croatia,Adria Beteiligungs Gmbh,Austria,Croatia,Cleary Gottlieb Steen & Hamilton,Latham & Watkins,Ad hoc (UNCITRAL),Kaj Hober; Neil Kaplan; Hrvoje Sikiric,Kaj Hober,Neil Kaplan,Hrvoje Sikiric,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC269,2011,$700 million,700000000,Ron Fuchs and Ioannis Kardassopoulos v. Georgia,Ron Fuchs,Israel,Georgia,"Skadden, Arps, Slate, Meagher & Flom",Dewey & LeBoeuf;DLA Piper,ICSID,L. Yves Fortier; Francisco Orrego Vicuña; Vaughan Lowe; Dominique Hascher; Karl-Heinz Böckstiegel; Cecil Abraham,L. Yves Fortier,Francisco Orrego Vicuña,"Vaughan Lowe; Dominique Hascher; Karl-Heinz Böckstiegel;Cecil Abraham
",,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC264,2011,$200 million,200000000,Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia v. Argentine Republic,Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia,Spain,Argentina,Jones Day,Attorney General of Argentina,ICSID,Andreas Bucher; Pedro Martinez Fraga; Campbell McLachlan,Andreas Bucher,Pedro Martinez Fraga,Campbell McLachlan,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC262,2011,$19 billion,19000000000,Saba Fakes v. Turkey,Saba Fakes,Netherlands,Turkey,Houthoff Buruma,Derains & Gharavi,ICSID,Emmanuel Gaillard; Laurent Levy; Hans van Houtte,Emmanuel Gaillard,Laurent Levy,Hans van Houtte,"One of a series of arbitrations filed against Turkey in the aftermath of criminal and fraud allegations leveled against members of the Uzan family. Fakes, a Jordanian-Dutch binational, claimed to have acquired control of Telsim, the second-largest Turkish telecom, one day before the company was seized by Turkish authorities. In July 2010 the tribunal declined jurisdiction, finding that Fakes had never intended to buy the shares in the telecom company, and ordering him to pay Turkey’s full legal costs.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC261,2011,$3.8 billion,3800000000,Europe Cement Investment & Trade SA v. Turkey,Europe Cement Investment & Trade SA,Poland,Turkey,Formerly Mannheimer Swartling,Cosar AvUnited Kingdomatlik Burosu;Freshfields Bruckhaus Deringer,ICSID,Donald McRae; Julian Lew; Laurent Lévy,Donald McRae,Julian Lew,Laurent Lévy,"This claim mirrors the Cementownia ICSID case, but was heard by a separate panel. The arbitrators consented to a Turkish demand that the Polish company produce evidence that it owns shares in a pair of Turkish hydroelectric companies. After counsel for the claimant withdrew in mid-2008, Europe Cement sought to withdraw its claim. However, Turkey insisted that the issues be given a thorough airing. In August 2009 the arbitrators dismissed the claim for lack of jurisdiction and awarded Turkey about $4 million in costs.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC260,2011,$183 million,183000000,Gustav FW Hamester GmbH & Co KG v. Ghana,Gustav FW Hamester GmbH & Co KG,Germany,Ghana,AFA Law,Dewey & LeBoeuf,ICSID,Brigitte Stern; Toby Landau; Bernardo Cremades,Brigitte Stern,Toby Landau,Bernardo Cremades,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC259,2011,Up to $20 billion,20000000000,"Rovime Inversiones SICAV S.A., Quasar de Valors SICAV S.A., Orgor de Valores SICAV S.A., and GBI 9000 SICAV S.A. v. The Russian Federation",Rovime Inversiones SICAV S.A.,Spain,Russia,Covington & Burling,Baker Botts;Foley Hoag,Stockholm Chamber of Commerce,Jan Paulsson; Charles Brower; Toby Landau,Jan Paulsson,Charles Brower,Toby Landau,"In this claim arising from the dismantling of Yukos Oil Company, a group of Spanish investment funds allege breach of the Spain–Russia BIT, which Russia denies. While the claimants owned only a tiny stake in the Yukos company, they maintain that it is a test case for foreign shareholders, who allege losses of up to $20 billion in the Yukos affair. In March 2009 arbitrators ruled that a narrow arbitration provision contained in the Spain-Russia treaty did not preclude them from assessing whether Russia committed an expropriation. However, the tribunal dismissed several claimants, including the original lead claimant Renta 4 SVSA, for lack of standing. A hearing on the merits is scheduled for late October 2011.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC258,2011,Up to $1.8 billion,1800000000,Shell Nigeria Ultra Deep v. Federal Nigeria,Shell Nigeria Ultra Deep,Nigeria,Nigeria,Clifford Chance,Alegeh & Co,ICSID,William Park; Hamad Gharavi; Nahil El Araby,William Park,Hamad Gharavi,Nahil El Araby,"Shell claims that the Nigerian government breached the terms of a production-sharing contract between Shell Nigeria and Nigeria’s state petroleum company (NNPC), when the government ordered that NNPC’s portion of the venture be handed over to a private company. Shell alleges that this action breached not only the terms of its production sharing contract for an ultra-deep-water area, but also the protections of the Nigeria-Netherlands BIT. Nigeria disputes the allegations","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC255,2011,$680 million,680000000,Trust Company of the West v. Dominican Republic,Trust Company of the West,USA,Dominican Republic,"Paul, Hastings, Janofsky & Walker",Simpson Thacher & Bartlett,Permanent Court of Arbitration (Ad hoc/UNCITRAL),Karl-Heinz Böckstiegel; Thomas Walde; Juan Fernandez Armesto,Karl-Heinz Böckstiegel,Thomas Walde,Juan Fernandez Armesto,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC254,2011,Up to $20 billion,20000000000,"Mobil Corporation Venezuela Holdings B.V., Mobil Cerro Negro Holding, Ltd, and Mobil Venezolana de Petroleos Holding, Inc. v. Venezuela",Mobil Corporation Venezuela Holdings B.V.,USA,Venezuela,Covington & Burling,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Gilbert Guillam; Gabrielle Kaufmann-Kohler; Ahmed El-Kosheri,Gilbert Guillam,Gabrielle Kaufmann-Kohler,Ahmed El-Kosheri,"Claims alleging expropriation and violation of fair and equitable treatment under the Venezuela–Netherlands BIT with respect to two joint venture projects in Venezuela’s heavy crude sector, resulting from governmental fiscal measures and restructuring of the petroleum industry. In June 2010 the tribunal asserted jurisdiction under the Dutch treaty, but accepted Venezuela’s argument that its domestic investment law does not contain a consent to ICSID jurisdiction. This led to a dismissal of all claims relating to measures that occurred before Mobil established a Dutch holding company in 2006, resulting in a reduction of potential damages. Hearings on the merits are scheduled for February 2012. A parallel contract arbitration has been filed against Venezuela’s state oil company.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC252,2011,$100 million,100000000,Laskaridis Shipping Company Ltd v. United Kingdom,Laskaridis Shipping Company Ltd,Greece,United Kingdom,Sach Solicitors,Volterra Fietta;Latham & Watkins,Ad hoc (UNCITRAL),L. Yves Fortier; Robert Dossou; David Williams,L. Yves Fortier,Robert Dossou,David Williams,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC251,2011,$680 million,680000000,"Société Générale, Empresa Distribuidora de Electricidad del Este, S.A. v. Dominican Republic","Société Générale, Empresa Distribuidora de Electricidad del Este, S.A.",France,Dominican Republic,"Paul, Hastings, Janofsky & Walker",Simpson Thacher & Bartlett,ICC,Francisco Orrego-Vacuna,Francisco Orrego-Vacuna,Doak Bishop,Bernardo Cremades,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC249,2011,$200 million,200000000,Liman Caspian Oil BV and NCL Dutch Investment BV v. Kazakhstan,Liman Caspian Oil BV,Netherlands,Kazakhstan,Clifford Chance,Reed Smith Richards Butler,ICSID,Karl-Heinz Böckstiegel; Kaj Hobér; James Crawford,Karl-Heinz Böckstiegel,Kaj Hobér,James Crawford,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC246,2011,$30 billion,30000000000,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V., ConocoPhillips Gulf of Paria B.V., and ConocoPhillips Company v. The Venezuela",ConocoPhillips Petrozuata B.V.,Netherlands,Venezuela,Freshfields Bruckhaus Deringer,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID,Kenneth Keith; L. Yves Fortier; Ian Brownlie,Kenneth Keith,L. Yves Fortier,Ian Brownlie,"Following Venezuela’s assertion of greater control over its energy sector, Conoco protested that President Hugo Chavez had expropriated three joint venture projects in Venezuela’s extra-heavy crude reservoirs in the Orinoco Belt and offshore crude reservoirs in the Gulf of Paria. In the absence of an investment treaty between the USA and Venezuela, Conoco brought claims under the Venezuelan foreign investment statute and Netherlands–Venezuela investment treaty (which Venezuela has since renounced). Venezuela contested Conoco’s positions on jurisdiction, liability, and damages at hearings held May–June 2010 and in July 2010 in The Hague. In two similar cases, brought by Mobil and Cemex, arbitrators have accepted jurisdiction under the bilateral investment treaty (BIT) but denied jurisdiction under the investment law.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC243,2011,$18.2 billion,18200000000,Chevron Corp. and Texaco Petroleum Company v. Ecuador,Chevron Corp.,USA,Ecuador,King & Spalding,Winston & Strawn,Permanent Court of Arbitration (UNCITRAL),V. V. Veeder; Horacio Grigera Naon; Vaughan Lowe,V. V. Veeder,Horacio Grigera Naon,Vaughan Lowe,"An arbitration designed to protect Chevron from the epic environmental trial brought in Lago Agrio, Ecuador. In the underlying suit, residents of the Ecuadorian Amazon allege that Texaco Petroleum Company devastated the area through its oil operations in Ecuador from 1972 to 1992, as the minority owner of a consortium with PetroEcuador. This ad hoc arbitration, filed in September 2009, is being conducted under the UNCITRAL rules by arbitrators meeting in London under the supervision of the Permanent Court of Arbitration in The Hague. Chevron’s statement of claim argued that Ecuador breached the 1998 settlement and release agreement it signed with Texaco by allowing the trial to proceed; and that the trial was violating the USA–Ecuador investment treaty, as well as international law, because it was rife with fraud and collusion. Ecuador thoroughly contests the claim. In March 2010 a USA district court in New York declined to stay this treaty arbitration, and in March 2011 the USA Court of Appeals for the Second Circuit affirmed. The hearing on arbitral jurisdiction took place in November 2010. On February 9, 2011, the arbitrators granted interim measures, ordering Ecuador not to advance enforcement of any Ecuadorian court judgment against Chevron. The Ecuadorian court judgment came down five days later, in the amount of roughly $18 billion (including roughly $9 billion that kicked in after Chevron did not apologize within two weeks). The arbitration asks, among other things, for an order that Ecuador reimburse Chevron for any damages, and a declaration that Chevron is not liable for damages.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC241,2011,$200 million,200000000,Nordzucker AG v. Poland,Nordzucker AG,Germany,Poland,White & Case,Domanski Zakrewski Palinka,(UNCITRAL),Vera Van Houtte; Andreas Bucher; Maciej Tomaszewski,Vera Van Houtte,Andreas Bucher,Maciej Tomaszewski,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC240,2011,$4 billion,4000000000,Cementownia “Nowa Huta” S.A. v. Turkey,Cementownia “Nowa Huta” S.A.,Poland,Turkey,formerly Mannheimer Swartling,Cosar AvUnited Kingdomatlik Burosu; Freshfields Bruckhaus Deringer,ICSID,,,,,"Cementownia was one of several claimants to come forward after Turkey seized the assets of two large hydroelectric companies—CUnited Kingdomurova Elektrik Anonim Sirketi and Kepez Elektrik Turk Anonim Sirketi—and canceled their concessions. While Turkey maintains that the utilities were owned by the Uzan family at the time of seizure, Cementownia was among several parties to say they had acquired the Uzans’ shares just prior to Turkey’s actions. In 2008 Mannheimer Swartling stepped down as claimant’s counsel, and Cementownia offered to withdraw its claim. However, Turkey refused and pointed to provisions of the ICSID Additional Facility rules, which stipulate that both parties to an arbitration must consent to the withdrawal of a claim. In September 2009 the arbitrators dismissed the claim with prejudice, finding that it was abusive and manifestly ill-founded. The panel awarded Turkey $5.3 million in fees and costs but declined to award damages.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC239,2011,More than $4 billion (including over $1 billion counterclaim),4000000000,Occidental Petroleum Corporation and Occidental Exploration and Production Company v. The Ecuador,Occidental Petroleum Corporation,USA,Ecuador,Debevoise & Plimpton;Covington & Burling,"Attorney General of Ecuador;Foley Hoag;Squire, Sanders & Dempsey, Dechert",ICSID,"L. Yves Fortier; David Williams, Brigitte Stern",L. Yves Fortier,"David Williams, Brigitte Stern",,"Soon after Occidental won a 2004 tax arbitration for $75 million, Ecuador accused the company of having breached Ecuadorian law by handing a stake in its oil concession to a Canadian energy company without government approval. Ecuador stripped Occidental of its Amazonian concession on May 15, 2006. Two days later, Occidental filed this arbitration against Ecuador and its state oil company, grounded in both the USA–Ecuador BIT and the parties’ production sharing agreement. Ecuador has counterclaimed for $82 million in damages related to the seizure and $1 billion in moral damages. The tribunal asserted jurisdiction in 2008, and held hearings for a total of 23 days. A final award is expected in 2011.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC237,2011,$1 billion,1000000000,Barmek Holding AS v. Azerbaijan,Barmek Holding AS,Turkey,Azerbaijan,Yazici Law Firm; Hogan Lovells,Latham & Watkins,ICSID,Vaughan Lowe; Peter Galbraith; Brigitte Stern,Vaughan Lowe,Peter Galbraith,Brigitte Stern,"Turkey’s Barmek Holding alleged that Azerbaijan seized from it two electricity concessions as part of a campaign against former minister of the economy Farhad Aliyev, whom Azerbaijan accused of plotting a coup d’état financed with privatized state assets. Azerbaijan denied the allegations. The claims, filed under the Azerbaijan–Turkey BIT, settled on undisclosed terms in September 2009","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC229,2011,$4.8 billion,4800000000,Cementownia “Nowa Huta” S.A. and Polska Energetyka Holding S.A. v. The Turkey,Cementownia “Nowa Huta” S.A.,Poland,Turkey,,Baker & McKenzie,Ad hoc (UNCITRAL),Pierre Tercier; Christopher Thomas; Marc Lalonde,Pierre Tercier,Christopher Thomas,Marc Lalonde,"Another case arising out of Turkey’s fight with the Uzan business empire. In this consolidated arbitration, claimants alleged expropriation under the Poland–Turkey BIT of its stakes in various companies once owned by the Uzans. Turkey countered that when it took the measures that claimants call expropriatory, it was investigating the largest banking fraud in its history, and seeking recovery of embezzled funds. The cases were discontinued by a July 2009 termination order for claimants’ failure to pursue them. The panel awarded Turkey $1.7 million in legal costs in November 2009.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC227,2011,$350 million,350000000,"Azpetrol International Holdings B.V., Azpetrol Group B.V., and Azpetrol Oil Services Group B.V. v. Azerbaijan",Azpetrol International Holdings B.V.,Netherlands,Azerbaijan,McDermott Will & Emery,Allen & Overy,ICSID,Florentino P. Feliciano; Christopher Greenwood; Charles Brower,Florentino P. Feliciano,Christopher Greenwood,Charles Brower,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC225,2011,$350 million,350000000,Vivendi and Compañía de Aguas del Aconquija S.A. v. Argentine Republic,Vivendi,France,Argentina,Sidley Austin,,ICSID,Ahmed El-Kosheri; Jan Hendrik Dalhuisen; Andreas Jacovides,Ahmed El-Kosheri,Jan Hendrik Dalhuisen,Andreas Jacovides,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC224,2011,$120 million,120000000,Phoenix Action Ltd. v. The Czech Republic,Phoenix Action Ltd.,Israel,Czech Republic,Covington & Burling,"Squire, Sanders & Dempsey",,NA,NA,,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC219,2011,$11 billion,11000000000,Libananco Holdings Co. Limited v. Turkey,Libananco Holdings Co. Limited,Cyprus,Turkey,Crowell & Moring,Freshfields Bruckhaus Deringer;Cosar AvUnited Kingdomatlik Burosu,ICSID,Michael Hwang; Henri Alvarez; Frank Berman,Michael Hwang,Henri Alvarez,Frank Berman,"A claim under the Energy Charter Treaty for expropriation of the majority stake Libananco allegedly held in two utilities that operated 11 Turkish dams and power plants, previously controlled by the Uzan clan. In 2003 Turkey canceled the concessions and seized the facilities of the two companies, CUnited Kingdomurova Elektrik Anonim Sirketi and Kepez Elektrik Turk Anonim Sirketi. Claimant ascribes to Turkey improper political motives. Turkey suspects Libananco of ties to the Uzans, and questions its status as a foreign investor. The decision on jurisdiction was pending when this survey was conducted.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC213,2011,$103.6 billion,103600000000,"Hulley Enterprises, Ltd. v. Russian Federation; Yukos Universal Limited v. Russian Federation; Veteran Petroleum Limited v. Russian Federation","Hulley Enterprises, Ltd.",Cyprus,Russia,Shearman & Sterling,Cleary Gottlieb Steen & Hamilton,Permanent Court of Arbitration (Ad hoc/UNCITRAL),L. Yves Fortier; Stephen Schwebel; Charles Poncet,L. Yves Fortier,Stephen Schwebel,Charles Poncet,"Largest reported arbitration ever. A trio of cases brought against Russia by the majority shareholders of the defunct Yukos Oil Company. Affiliated with Group Menatep Ltd., claimants argue that Russia drove Yukos into bankruptcy through allegedly inflated tax claims in a vendetta against former CEO Mikhail Khodorkovsky. In its defense, Russia has argued that its courts properly adjudicated genuine tax offenses. Citing unfair treatment and expropriation in violation of the Energy Charter Treaty, claimants seek roughly $85 billion for Hulley, $15 billion for Veteran, and $4 billion for Yukos Universal. On November 30, 2009, the tribunal, operating under the supervision of the Permanent Court of Arbitration, asserted jurisdiction [“A Lifetime of Litigation,” Summer 2010]. A few preliminary issues have been left for the merits phase, including the ECT’s tax carve-outs and Russia’s allegation that Yukos’s criminal wrongdoing bars its claim. A merits hearing is scheduled for late 2012.","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC211,2011,$1.1 billion,1100000000,"Empresa Eléctrica del Ecuador, Inc. v. Ecuador","Empresa Eléctrica del Ecuador, Inc.",EMELEC,Ecuador,Office of Henry St. Dahl; Provost & Umphrey,Cabezas & Wray; Latham & Watkins,ICSID,Bernardo Sepulveda Amor; John Rooney; W. Michael Reisman,Bernardo Sepulveda Amor,John Rooney,W. Michael Reisman,"A private electrical utility, EMELEC alleges that the Ecuadorian military seized its electricity-generating facilities in Guayaqil in March 2000, after its former owner, Ecuadorian businessman Fernando Aspiazu, was charged with banking irregularities. Ecuador prevailed in 2009 when arbitrators held that the claimant could not prove that they were owned by USA business interests, thus precluding jurisdiction under the USA–Ecuador BIT","Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC210,2011,$600 million,600000000,The Bank of Nova Scotia v. Argentine Republic,The Bank of Nova Scotia,Canada,Argentina,Freshfields Bruckhaus Deringer;McCarthy Tetrault,Attorney General of Argentina,Ad hoc (UNCITRAL),Charles Brower; Alain Pellet,Charles Brower,Alain Pellet,,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC207,2011,$133 million,133000000,"Waguih Siag, Clorinda Vecchi, et al. v. Arab Egypt","Waguih Siag , et al.",Egypt,Egypt,King & Spalding,Baker & McKenzie,ICSID,Stephen Schwebel; Azzedine Kettani; Peter Tomka,Stephen Schwebel,Azzedine Kettani,Peter Tomka,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
UNC205,2011,$100 million,100000000,"Cargill, Inc. v. United Mexican States","Cargill, Inc.",USA,Mexico,Mayer Brown; Graf von Westphalen,Hogan Lovells; IKRP Rokas & Partners,ICSID,Michael Pryles; David Caron; Donald McRae,Michael Pryles,David Caron,Donald McRae,,"Focus Europe: Arbitration Scorecard (Treaties), July 1, 2011",TREATY
